Gene	GeT-RM	Star allele search
CYP1A2	0.0625	
CYP2A13		0.5
CYP2A6	0.27450980392156865	0.2549019607843137
CYP2B6	0.24489795918367346	0.24489795918367346
CYP2C19	0.2894736842105263	0.42105263157894735
CYP2C8	0.3888888888888889	0.6111111111111112
CYP2C9	0.10227272727272728	0.17045454545454544
CYP2D6	0.11931818181818182	0.29545454545454547
CYP3A4	0.13333333333333333	0.37777777777777777
CYP3A5	0.6666666666666666	0.6666666666666666
CYP4F2	0.30434782608695654	0.13043478260869565
NAT2	0.20833333333333334	
NUDT15		0.19047619047619047
SLCO1B1	0.30612244897959184	0.4489795918367347
