#Deviation	4.5065	4.7747
#Avg_STDev	7.111
#Diversity	4.546
#Entropy	0.117
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.673	21.641	19.766	33.718	21.349	19.399
2	34.122	25.182	22.126	33.778	24.453	21.705
3	35.592	26.273	22.808	35.044	25.273	21.333
4	35.766	26.186	22.394	35.291	25.227	21.062
5	35.919	26.810	23.413	35.476	25.410	22.225
6	37.014	26.943	22.596	36.487	25.714	21.860
7	37.081	27.305	23.031	36.431	25.521	21.688
8	37.059	26.928	23.463	36.658	26.048	22.341
9	37.096	27.261	23.031	36.519	25.502	21.739
10	37.148	27.435	24.296	36.604	25.774	22.460
11	37.110	27.144	23.314	36.634	25.792	22.302
12	37.129	27.326	23.618	36.701	26.170	22.460
13	37.049	26.879	23.413	36.637	25.967	21.860
14	37.061	27.112	23.565	36.589	25.638	21.555
15	37.069	27.214	23.266	36.598	25.628	21.427
16	36.988	26.779	23.618	36.518	25.697	21.555
17	37.013	26.836	23.565	36.549	25.772	21.033
18	36.963	26.697	23.565	36.396	25.355	21.364
19	37.010	26.936	23.618	36.348	25.216	21.688
20	36.984	26.833	23.723	36.400	25.376	21.621
21	36.987	26.887	23.314	36.389	25.273	20.947
22	36.949	26.799	23.943	36.372	25.390	20.753
23	36.957	26.756	23.314	36.333	25.234	20.863
24	36.849	26.278	23.218	36.271	25.153	20.567
25	36.864	26.394	23.363	36.152	24.982	21.121
26	36.806	25.931	22.555	36.151	24.793	20.672
27	36.735	25.856	22.474	36.197	25.008	20.464
28	36.767	25.963	22.355	36.159	24.895	20.835
29	36.783	26.043	22.316	36.082	24.668	20.464
30	36.670	25.678	21.805	36.085	24.580	20.241
31	36.680	25.799	21.195	36.074	24.696	20.807
32	36.552	21.885	20.196	35.972	24.457	19.961
33	36.641	25.737	22.434	36.113	24.749	20.364
34	36.682	25.709	21.945	35.954	24.424	19.698
35	36.582	25.340	21.980	35.910	24.322	19.938
36	36.649	25.691	22.201	35.927	24.518	19.938
37	36.634	25.611	21.378	35.845	24.230	19.938
38	36.616	25.573	22.278	35.895	24.256	20.439
39	36.565	25.351	21.702	35.955	24.504	20.593
40	36.541	25.294	21.106	35.935	24.224	20.018
41	36.551	25.331	21.441	35.782	24.122	19.500
42	36.507	25.237	21.874	35.720	23.960	19.592
43	36.517	25.357	22.089	35.739	24.002	19.551
44	36.497	25.179	21.378	35.780	24.050	19.215
45	36.530	25.366	21.135	35.706	23.847	19.676
46	36.560	25.403	21.347	35.728	24.033	19.139
47	36.489	25.204	21.537	35.586	23.686	19.065
48	36.375	24.794	21.019	35.535	23.654	18.678
49	36.435	25.056	21.441	35.563	23.712	19.490
50	36.418	25.023	21.702	35.529	23.447	19.037
51	36.407	24.962	20.633	35.418	23.396	18.841
52	36.414	25.032	20.905	35.425	23.462	18.611
53	36.363	24.824	20.607	35.492	23.683	18.938
54	36.384	25.133	20.905	35.324	23.299	18.686
55	36.343	24.847	20.304	35.318	23.384	18.885
56	36.356	25.001	20.555	35.296	23.336	18.644
57	36.265	24.725	20.961	35.189	23.144	18.513
58	36.334	24.833	20.660	35.264	23.346	19.046
59	36.292	24.690	20.529	35.134	23.221	18.066
60	36.219	24.470	20.767	35.069	23.072	18.353
61	36.247	24.653	20.905	35.000	22.789	17.838
62	36.235	24.647	20.184	35.060	23.017	18.245
63	36.278	24.727	19.820	35.011	22.871	18.023
64	36.150	24.408	20.428	35.112	23.124	18.307
65	36.123	24.344	20.184	35.103	22.990	18.432
66	36.079	24.294	19.649	35.026	22.887	18.215
67	36.077	24.252	20.353	35.085	22.986	17.770
68	36.129	24.327	20.078	35.064	22.937	18.513
69	36.137	24.456	20.329	35.032	22.952	17.937
70	36.140	24.404	20.044	35.020	22.972	18.464
71	36.046	24.081	19.384	34.914	22.780	17.811
72	36.072	24.108	19.444	34.925	22.742	17.894
73	36.102	24.363	19.691	34.891	22.689	18.023
74	36.015	24.074	19.484	34.858	22.596	17.655
75	35.998	24.090	19.325	34.746	22.561	17.622
76	35.625	23.975	19.842	34.408	22.803	18.401
77	35.815	24.062	19.565	34.714	22.804	18.322
78	35.946	24.134	19.908	34.983	23.031	18.008
79	35.937	23.989	19.024	34.962	22.863	17.715
80	35.958	24.025	19.424	34.998	22.868	17.569
81	35.886	23.801	19.504	34.972	22.852	17.811
82	35.959	24.135	19.504	34.870	22.664	18.023
83	35.916	23.906	18.864	34.847	22.654	17.583
84	35.915	24.035	19.444	34.851	22.699	17.729
85	35.917	23.987	18.709	34.797	22.525	17.454
86	35.824	23.733	18.988	34.782	22.506	17.231
87	35.760	23.639	18.890	34.847	22.748	17.609
88	35.829	23.738	18.625	34.712	22.510	17.353
89	35.763	23.608	18.988	34.597	22.284	17.416
90	35.749	23.576	18.743	34.658	22.440	17.353
91	35.790	23.753	18.415	34.566	22.184	17.100
92	35.689	23.487	18.511	34.585	22.264	17.479
93	35.708	23.662	18.527	34.587	22.255	17.231
94	35.652	23.340	18.184	34.541	22.304	17.077
