#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98815	0.00793	0.00000	0.00000	0.00392	0.00000	0.98726	0.00763	0.00000	0.00000	0.00511	0.00000
2	0.99345	0.00642	0.00000	0.00000	0.00013	0.00000	0.99221	0.00776	0.00000	0.00000	0.00003	0.00000
3	0.99368	0.00626	0.00000	0.00005	0.00000	0.00000	0.99367	0.00633	0.00000	0.00000	0.00000	0.00000
4	0.99514	0.00473	0.00000	0.00013	0.00000	0.00000	0.99252	0.00732	0.00000	0.00008	0.00008	0.00000
5	0.99514	0.00463	0.00010	0.00023	0.00000	0.00000	0.99307	0.00680	0.00003	0.00010	0.00003	0.00000
6	0.99545	0.00439	0.00005	0.00016	0.00000	0.00000	0.99364	0.00617	0.00005	0.00013	0.00005	0.00000
7	0.99587	0.00403	0.00003	0.00010	0.00000	0.00000	0.99383	0.00602	0.00010	0.00016	0.00000	0.00000
8	0.99556	0.00431	0.00010	0.00013	0.00000	0.00000	0.99476	0.00500	0.00003	0.00023	0.00000	0.00000
9	0.99584	0.00400	0.00003	0.00016	0.00000	0.00000	0.99419	0.00560	0.00008	0.00018	0.00003	0.00000
10	0.99602	0.00379	0.00008	0.00016	0.00003	0.00000	0.99476	0.00511	0.00005	0.00013	0.00000	0.00000
11	0.99589	0.00390	0.00000	0.00021	0.00000	0.00000	0.99377	0.00610	0.00000	0.00013	0.00000	0.00000
12	0.99592	0.00366	0.00003	0.00039	0.00003	0.00000	0.99323	0.00667	0.00003	0.00010	0.00000	0.00000
13	0.99587	0.00377	0.00005	0.00036	0.00000	0.00000	0.99388	0.00602	0.00003	0.00008	0.00003	0.00000
14	0.99602	0.00374	0.00003	0.00023	0.00000	0.00000	0.99359	0.00636	0.00005	0.00005	0.00000	0.00000
15	0.99556	0.00408	0.00003	0.00036	0.00000	0.00000	0.99268	0.00716	0.00005	0.00013	0.00003	0.00000
16	0.99610	0.00359	0.00018	0.00031	0.00000	0.00000	0.99315	0.00659	0.00008	0.00023	0.00003	0.00000
17	0.99628	0.00346	0.00008	0.00026	0.00000	0.00000	0.99278	0.00696	0.00008	0.00021	0.00005	0.00000
18	0.99527	0.00437	0.00003	0.00036	0.00000	0.00000	0.99323	0.00651	0.00008	0.00023	0.00003	0.00000
19	0.99631	0.00335	0.00008	0.00034	0.00000	0.00000	0.99271	0.00703	0.00005	0.00023	0.00003	0.00000
20	0.99587	0.00387	0.00016	0.00026	0.00000	0.00000	0.99323	0.00651	0.00008	0.00021	0.00005	0.00000
21	0.99576	0.00395	0.00010	0.00029	0.00000	0.00000	0.99273	0.00709	0.00005	0.00018	0.00000	0.00000
22	0.99605	0.00369	0.00003	0.00026	0.00000	0.00000	0.99192	0.00787	0.00005	0.00021	0.00000	0.00000
