#Mean	523.251
#Median	515
#Mode	486
#STDev	131.810
#PercentOfPairs	99.992
#InsertSize	Count
33	1
35	1
47	1
66	1
68	1
80	1
83	1
84	1
89	1
90	1
94	1
99	1
104	1
106	1
108	1
109	1
113	1
116	1
118	3
119	2
120	1
124	2
125	2
126	4
127	1
128	1
131	5
132	4
133	4
134	3
135	1
136	5
137	3
138	4
139	4
140	5
141	3
142	2
143	6
144	7
145	3
146	3
147	4
148	7
149	1
150	3
151	4
152	3
153	2
154	8
155	6
156	5
157	4
158	2
159	5
160	4
161	6
162	2
163	2
164	1
165	3
166	2
167	6
168	1
169	6
170	4
171	2
172	2
173	5
174	4
175	5
176	6
177	2
178	3
180	1
181	4
182	5
183	3
184	5
185	2
186	5
187	1
188	7
189	8
190	6
191	3
192	4
193	3
194	6
195	3
196	2
197	1
198	6
199	3
200	3
201	4
202	2
203	4
204	1
205	4
206	4
207	6
208	4
209	4
210	9
211	2
212	1
213	8
214	1
215	2
216	8
217	3
218	8
219	4
221	13
222	7
223	8
224	4
225	5
226	4
227	8
228	1
229	2
230	3
231	11
232	2
233	11
234	5
235	8
236	3
237	9
238	4
239	9
240	7
241	7
242	8
243	11
244	4
245	8
246	9
247	4
248	7
249	3
250	8
251	13
252	14
253	11
254	8
255	4
256	6
257	9
258	7
259	6
260	6
261	9
262	10
263	10
264	8
265	20
266	10
267	9
268	10
269	18
270	7
271	15
272	14
273	13
274	11
275	6
276	9
277	11
278	12
279	14
280	5
281	15
282	8
283	17
284	14
285	9
286	10
287	11
288	11
289	16
290	16
291	18
292	16
293	13
294	13
295	14
296	11
297	12
298	16
299	18
300	14
301	11
302	16
303	19
304	18
305	17
306	24
307	23
308	25
309	17
310	19
311	31
312	15
313	15
314	18
315	29
316	22
317	13
318	21
319	20
320	21
321	20
322	22
323	23
324	18
325	23
326	20
327	25
328	32
329	23
330	36
331	28
332	32
333	22
334	46
335	28
336	30
337	29
338	39
339	22
340	43
341	38
342	25
343	40
344	27
345	32
346	34
347	28
348	43
349	42
350	32
351	33
352	41
353	38
354	41
355	39
356	35
357	46
358	45
359	63
360	42
361	43
362	54
363	48
364	43
365	54
366	63
367	43
368	51
369	45
370	46
371	45
372	47
373	58
374	57
375	63
376	47
377	63
378	58
379	61
380	57
381	59
382	50
383	70
384	57
385	65
386	47
387	72
388	64
389	64
390	55
391	65
392	69
393	71
394	63
395	62
396	89
397	87
398	71
399	68
400	85
401	92
402	66
403	74
404	74
405	79
406	105
407	70
408	85
409	83
410	95
411	109
412	70
413	92
414	100
415	85
416	87
417	84
418	82
419	98
420	120
421	103
422	110
423	99
424	98
425	109
426	100
427	98
428	93
429	112
430	124
431	123
432	126
433	114
434	131
435	101
436	110
437	108
438	116
439	103
440	113
441	101
442	102
443	109
444	126
445	148
446	120
447	119
448	113
449	128
450	132
451	113
452	95
453	125
454	109
455	127
456	143
457	137
458	139
459	128
460	114
461	128
462	132
463	112
464	127
465	145
466	137
467	136
468	118
469	145
470	125
471	127
472	136
473	142
474	128
475	121
476	151
477	135
478	124
479	143
480	140
481	136
482	134
483	158
484	166
485	139
486	169
487	127
488	146
489	138
490	148
491	148
492	142
493	138
494	145
495	133
496	131
497	138
498	114
499	123
500	168
501	118
502	146
503	139
504	143
505	160
506	145
507	137
508	166
509	136
510	145
511	148
512	154
513	129
514	123
515	152
516	149
517	135
518	137
519	151
520	132
521	125
522	143
523	139
524	133
525	137
526	157
527	138
528	127
529	125
530	123
531	120
532	128
533	124
534	151
535	150
536	130
537	129
538	137
539	117
540	128
541	148
542	123
543	133
544	148
545	102
546	117
547	126
548	129
549	134
550	126
551	119
552	122
553	126
554	104
555	141
556	114
557	119
558	127
559	132
560	123
561	105
562	128
563	126
564	113
565	141
566	117
567	99
568	107
569	140
570	112
571	105
572	112
573	117
574	96
575	111
576	101
577	88
578	112
579	93
580	93
581	101
582	102
583	99
584	98
585	110
586	108
587	100
588	90
589	89
590	105
591	111
592	92
593	105
594	110
595	101
596	72
597	95
598	92
599	101
600	72
601	102
602	93
603	97
604	93
605	86
606	104
607	86
608	65
609	85
610	73
611	75
612	84
613	74
614	89
615	87
616	89
617	85
618	72
619	73
620	79
621	73
622	82
623	63
624	71
625	67
626	69
627	52
628	59
629	79
630	64
631	89
632	79
633	62
634	52
635	74
636	79
637	47
638	55
639	84
640	76
641	71
642	59
643	66
644	69
645	58
646	57
647	63
648	59
649	62
650	60
651	56
652	60
653	66
654	58
655	54
656	65
657	56
658	55
659	49
660	54
661	54
662	41
663	44
664	47
665	46
666	44
667	42
668	56
669	35
670	49
671	41
672	51
673	35
674	45
675	60
676	39
677	56
678	56
679	45
680	33
681	39
682	32
683	37
684	32
685	49
686	34
687	35
688	49
689	40
690	40
691	48
692	42
693	51
694	28
695	45
696	43
697	33
698	32
699	34
700	33
701	30
702	32
703	35
704	23
705	35
706	43
707	47
708	39
709	42
710	36
711	26
712	33
713	35
714	37
715	23
716	26
717	31
718	24
719	26
720	45
721	39
722	32
723	20
724	19
725	27
726	33
727	27
728	24
729	31
730	22
731	27
732	25
733	27
734	27
735	24
736	19
737	22
738	28
739	17
740	35
741	20
742	21
743	22
744	26
745	22
746	31
747	23
748	21
749	27
750	17
751	17
752	19
753	17
754	20
755	20
756	26
757	20
758	12
759	24
760	19
761	17
762	15
763	18
764	16
765	18
766	18
767	11
768	17
769	13
770	10
771	18
772	19
773	16
774	13
775	17
776	13
777	11
778	13
779	10
780	21
781	8
782	12
783	16
784	8
785	12
786	12
787	11
788	10
789	10
790	10
791	7
792	16
793	10
794	7
795	6
796	13
797	5
798	11
799	8
800	6
801	8
802	15
803	7
804	5
805	11
806	12
807	12
808	7
809	15
810	5
811	11
812	5
813	5
814	9
815	11
816	13
817	8
818	5
819	11
820	6
821	7
822	11
823	10
824	3
825	9
826	7
827	8
828	12
829	8
830	2
831	7
832	6
833	4
834	3
835	5
836	7
837	11
838	5
839	8
840	7
841	9
842	8
843	3
844	3
845	4
846	2
847	8
848	2
849	4
850	11
851	8
852	3
853	3
854	8
855	2
856	3
857	5
858	2
859	7
860	1
861	6
862	3
863	8
864	9
865	6
866	2
867	11
868	7
869	7
870	4
871	7
872	5
873	2
874	5
875	2
876	2
877	5
878	13
879	2
880	3
881	1
883	3
884	6
885	3
886	6
887	1
888	4
889	1
890	2
891	4
893	4
894	1
895	1
896	2
897	2
898	6
899	2
901	5
903	2
904	4
905	2
906	4
908	2
909	3
910	2
912	5
913	1
914	5
915	3
916	2
918	2
920	1
921	2
922	1
924	1
925	3
926	2
927	5
928	3
929	2
930	1
931	2
932	2
933	3
934	2
935	1
936	2
937	2
938	2
939	3
943	2
944	3
945	2
949	2
950	1
952	1
955	2
956	2
959	1
961	1
962	1
965	1
966	1
974	1
975	2
978	1
979	1
980	1
982	1
983	1
987	1
988	1
992	2
993	1
997	1
1004	1
1009	1
1010	1
1011	2
1017	1
1023	1
1027	2
1034	2
1040	1
1044	2
1049	1
1053	2
1069	2
1071	1
1079	1
1091	1
1094	3
1104	1
1117	1
1132	1
1134	1
1139	1
1140	1
1146	1
1149	1
1150	1
1151	1
1166	1
1168	1
1174	1
1184	1
1195	1
1209	1
1214	1
1223	4
1269	1
1273	2
1276	2
1286	1
1287	1
1299	1
1308	1
1318	2
1319	1
1346	1
1351	1
1354	1
1357	1
1367	1
1392	1
1393	1
1395	1
1400	1
1404	2
1408	1
1413	1
1422	1
1425	2
1427	1
1433	1
1435	1
1442	1
1444	1
1460	1
1472	1
1478	1
1489	2
1498	2
1503	1
1504	1
1508	1
1512	1
1514	1
1526	2
1537	1
1548	1
1617	2
1622	1
1648	1
1671	1
1673	1
1674	1
1675	5
1678	1
1702	1
1703	1
1705	1
1724	1
1726	1
1754	1
1768	1
1790	1
1793	1
1816	1
1818	2
1824	1
1843	1
1856	1
1859	1
1864	3
1916	1
1937	1
1969	1
