#Mean	37.899
#Median	37
#Mode	38
#STDev	5.900
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	2
22	4
23	2
24	7
25	24
26	37
27	62
28	104
29	141
30	195
31	250
32	300
33	344
34	373
35	407
36	441
37	479
38	509
39	435
40	381
41	310
42	291
43	222
44	191
45	145
46	129
47	107
48	89
49	79
50	49
51	59
52	44
53	38
54	40
55	19
56	12
57	6
58	1
59	1
60	0
61	1
62	0
63	1
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
