#Mean	38.973
#Median	38
#Mode	37
#STDev	7.231
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	3
8	4
9	3
10	3
11	2
12	1
13	1
14	4
15	9
16	11
17	24
18	16
19	43
20	43
21	91
22	133
23	230
24	374
25	487
26	933
27	1318
28	1913
29	2638
30	3328
31	4188
32	4875
33	4787
34	5621
35	6308
36	6700
37	6970
38	6868
39	6912
40	6478
41	5946
42	5317
43	4682
44	4094
45	3551
46	2880
47	2541
48	2176
49	1915
50	1464
51	1457
52	1332
53	1135
54	935
55	771
56	521
57	381
58	258
59	227
60	160
61	115
62	90
63	62
64	57
65	48
66	32
67	31
68	35
69	26
70	26
71	22
72	20
73	25
74	31
75	27
76	27
77	21
78	16
79	7
80	6
81	6
82	1
83	1
84	0
85	2
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
