#Deviation	2.4098	2.8409
#Avg_STDev	6.062
#Diversity	3.624
#Entropy	0.037
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.891	21.959	24.025	35.531	25.511	24.450
2	35.712	21.091	21.702	35.741	25.643	24.218
3	36.035	22.277	23.788	35.792	25.799	24.126
4	36.053	22.320	24.016	35.837	25.989	24.407
5	36.071	22.373	23.972	35.712	25.516	23.099
6	36.230	22.544	24.681	35.878	26.211	24.086
7	36.202	22.561	24.094	35.813	25.971	24.742
8	36.175	22.534	24.884	35.771	25.816	24.707
9	36.254	22.636	24.184	35.862	26.145	24.707
10	36.143	22.487	24.790	35.723	25.642	25.169
11	36.261	22.636	24.597	35.883	26.200	25.515
12	36.177	22.542	26.419	35.740	25.646	24.836
13	36.241	22.605	24.732	35.868	26.094	24.896
14	36.171	22.523	26.336	35.776	25.788	24.872
15	36.178	22.530	24.531	35.758	25.727	24.571
16	36.159	22.537	25.791	31.084	10.073	10.019
17	36.119	22.466	24.520	35.647	25.372	23.872
18	36.126	22.496	24.968	35.513	25.009	23.516
19	36.141	22.504	26.470	35.644	25.370	24.932
20	36.144	22.507	25.386	35.602	25.218	24.505
21	36.141	22.490	26.221	35.556	25.077	23.667
22	36.115	22.466	24.687	35.589	25.207	23.843
23	36.050	22.364	23.688	35.570	25.146	23.686
24	36.078	22.434	24.134	35.574	25.150	23.490
25	36.061	22.382	23.581	35.535	25.050	24.007
26	36.029	22.294	22.810	35.513	24.983	23.704
27	36.039	22.348	25.281	35.525	25.026	23.891
28	36.008	22.271	23.919	35.478	24.899	23.948
29	36.009	22.289	25.128	35.454	24.792	23.438
30	35.982	22.232	23.443	35.441	24.792	23.253
31	35.983	22.243	23.798	35.438	24.750	23.115
32	35.984	22.260	23.872	35.390	24.655	23.353
33	35.970	22.199	25.806	35.386	24.673	23.353
34	35.984	22.253	25.970	35.358	24.556	23.344
35	35.950	22.190	25.204	35.323	24.464	23.302
36	36.147	27.802	25.508	35.336	24.673	23.020
37	36.146	27.833	24.895	35.325	24.641	23.114
38	36.129	27.802	25.675	35.247	24.400	22.844
39	36.110	27.719	25.647	35.224	24.349	22.645
40	36.127	27.689	25.576	35.239	24.403	22.581
41	36.103	27.637	25.203	35.237	24.395	22.381
42	36.102	27.625	25.293	35.208	24.343	22.659
43	36.088	27.535	25.399	35.064	23.842	21.828
44	36.082	27.533	25.548	35.144	24.141	22.222
45	36.080	27.517	25.717	35.167	24.225	21.914
46	36.038	27.357	25.202	35.121	24.105	22.176
47	36.040	27.367	25.189	34.997	23.816	21.632
48	36.030	27.269	25.357	35.086	23.957	21.980
49	35.972	27.022	25.113	35.103	24.053	22.169
50	36.015	27.218	25.437	35.042	23.936	22.029
51	36.026	27.263	25.163	35.073	23.955	21.968
52	35.985	27.031	25.832	35.005	23.810	21.846
53	35.979	27.050	25.125	35.011	23.786	21.822
54	35.949	26.908	25.062	35.024	23.875	21.876
55	35.948	26.924	24.892	34.995	23.762	21.670
56	35.951	26.930	25.174	35.000	23.799	21.479
57	35.896	26.617	24.397	34.943	23.700	21.403
58	35.943	26.888	24.867	34.907	23.572	21.197
