#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.99600	0.00382	0.00000	0.00000	0.00018	0.00000	0.99641	0.00359	0.00000	0.00000	0.00000	0.00000
2	0.99281	0.00546	0.00000	0.00000	0.00173	0.00000	0.99621	0.00379	0.00000	0.00000	0.00000	0.00000
3	0.99582	0.00415	0.00000	0.00002	0.00001	0.00000	0.99613	0.00386	0.00000	0.00001	0.00000	0.00000
4	0.99603	0.00394	0.00000	0.00003	0.00000	0.00000	0.99638	0.00360	0.00000	0.00003	0.00000	0.00000
5	0.99602	0.00389	0.00004	0.00006	0.00003	0.00000	0.99511	0.00485	0.00001	0.00004	0.00000	0.00000
6	0.99657	0.00319	0.00002	0.00008	0.00016	0.00000	0.99611	0.00381	0.00001	0.00008	0.00000	0.00000
7	0.99611	0.00382	0.00001	0.00006	0.00000	0.00000	0.99668	0.00325	0.00004	0.00007	0.00000	0.00000
8	0.99680	0.00308	0.00004	0.00012	0.00000	0.00000	0.99664	0.00330	0.00002	0.00006	0.00000	0.00000
9	0.99626	0.00366	0.00008	0.00008	0.00000	0.00000	0.99666	0.00326	0.00004	0.00008	0.00000	0.00000
10	0.99676	0.00314	0.00008	0.00010	0.00000	0.00000	0.99701	0.00293	0.00005	0.00005	0.00000	0.00000
11	0.99661	0.00329	0.00008	0.00010	0.00000	0.00000	0.99725	0.00271	0.00005	0.00004	0.00000	0.00000
12	0.99783	0.00205	0.00011	0.00012	0.00000	0.00000	0.99674	0.00319	0.00003	0.00006	0.00000	0.00000
13	0.99665	0.00326	0.00002	0.00009	0.00000	0.00000	0.99681	0.00312	0.00004	0.00007	0.00000	0.00000
14	0.99772	0.00213	0.00004	0.00015	0.00000	0.00000	0.99677	0.00317	0.00003	0.00006	0.00000	0.00000
15	0.99657	0.00328	0.00010	0.00014	0.00000	0.00000	0.99660	0.00332	0.00009	0.00008	0.00000	0.00000
16	0.99744	0.00235	0.00008	0.00020	0.00000	0.00000	0.86843	0.00307	0.00011	0.00008	0.12842	0.00000
17	0.99653	0.00329	0.00006	0.00018	0.00000	0.00000	0.99601	0.00390	0.00011	0.00009	0.00000	0.00000
18	0.99690	0.00292	0.00009	0.00018	0.00000	0.00000	0.99560	0.00429	0.00005	0.00011	0.00000	0.00000
19	0.99778	0.00204	0.00004	0.00018	0.00000	0.00000	0.99681	0.00311	0.00002	0.00008	0.00000	0.00000
20	0.99720	0.00267	0.00009	0.00013	0.00000	0.00000	0.99651	0.00341	0.00005	0.00008	0.00000	0.00000
21	0.99767	0.00217	0.00006	0.00016	0.00000	0.00000	0.99577	0.00410	0.00007	0.00012	0.00001	0.00000
22	0.99666	0.00318	0.00006	0.00016	0.00000	0.00000	0.99598	0.00383	0.00011	0.00019	0.00000	0.00000
23	0.99582	0.00398	0.00010	0.00020	0.00000	0.00000	0.99576	0.00407	0.00004	0.00016	0.00000	0.00000
24	0.99627	0.00351	0.00013	0.00021	0.00000	0.00000	0.99564	0.00417	0.00012	0.00019	0.00000	0.00000
25	0.99572	0.00411	0.00011	0.00017	0.00000	0.00000	0.99607	0.00379	0.00004	0.00014	0.00000	0.00000
26	0.99484	0.00496	0.00008	0.00020	0.00000	0.00000	0.99582	0.00406	0.00008	0.00012	0.00000	0.00000
27	0.99712	0.00270	0.00008	0.00019	0.00000	0.00000	0.99599	0.00388	0.00007	0.00013	0.00000	0.00000
28	0.99601	0.00375	0.00006	0.00024	0.00000	0.00000	0.99604	0.00375	0.00007	0.00021	0.00000	0.00000
29	0.99700	0.00276	0.00007	0.00024	0.00000	0.00000	0.99556	0.00427	0.00009	0.00017	0.00000	0.00000
30	0.99559	0.00409	0.00012	0.00032	0.00000	0.00000	0.99532	0.00452	0.00004	0.00016	0.00000	0.00000
31	0.99600	0.00373	0.00017	0.00028	0.00000	0.00000	0.99526	0.00458	0.00014	0.00016	0.00000	0.00000
32	0.99597	0.00377	0.00007	0.00026	0.00000	0.00000	0.99541	0.00441	0.00004	0.00018	0.00000	0.00000
33	0.99747	0.00232	0.00010	0.00021	0.00000	0.00000	0.99550	0.00432	0.00013	0.00018	0.00000	0.00000
34	0.99758	0.00221	0.00011	0.00021	0.00000	0.00000	0.99546	0.00432	0.00009	0.00022	0.00000	0.00000
35	0.99716	0.00252	0.00018	0.00032	0.00000	0.00000	0.99543	0.00438	0.00011	0.00019	0.00000	0.00000
36	0.99736	0.00241	0.00017	0.00023	0.00000	0.00000	0.99515	0.00466	0.00013	0.00020	0.00000	0.00000
37	0.99682	0.00292	0.00006	0.00026	0.00000	0.00000	0.99523	0.00449	0.00011	0.00029	0.00000	0.00000
38	0.99741	0.00244	0.00012	0.00015	0.00000	0.00000	0.99491	0.00489	0.00011	0.00020	0.00000	0.00000
39	0.99736	0.00247	0.00009	0.00017	0.00000	0.00000	0.99467	0.00512	0.00011	0.00022	0.00000	0.00000
40	0.99744	0.00221	0.00021	0.00035	0.00000	0.00000	0.99456	0.00519	0.00008	0.00025	0.00000	0.00000
41	0.99708	0.00265	0.00010	0.00028	0.00000	0.00000	0.99431	0.00548	0.00009	0.00021	0.00000	0.00000
42	0.99713	0.00259	0.00009	0.00028	0.00000	0.00000	0.99471	0.00505	0.00013	0.00023	0.00000	0.00000
43	0.99723	0.00241	0.00012	0.00036	0.00000	0.00000	0.99347	0.00612	0.00009	0.00017	0.00024	0.00000
44	0.99733	0.00233	0.00012	0.00034	0.00000	0.00000	0.99417	0.00565	0.00016	0.00018	0.00000	0.00000
45	0.99740	0.00229	0.00008	0.00031	0.00000	0.00000	0.99367	0.00609	0.00011	0.00024	0.00000	0.00000
46	0.99713	0.00256	0.00015	0.00031	0.00000	0.00000	0.99411	0.00574	0.00017	0.00015	0.00000	0.00000
47	0.99711	0.00258	0.00013	0.00031	0.00000	0.00000	0.99329	0.00645	0.00016	0.00025	0.00000	0.00000
48	0.99722	0.00258	0.00013	0.00020	0.00000	0.00000	0.99379	0.00610	0.00013	0.00012	0.00000	0.00000
49	0.99699	0.00272	0.00007	0.00029	0.00000	0.00000	0.99417	0.00553	0.00024	0.00030	0.00000	0.00000
50	0.99727	0.00234	0.00013	0.00038	0.00000	0.00000	0.99390	0.00580	0.00017	0.00030	0.00000	0.00000
51	0.99710	0.00256	0.00014	0.00035	0.00000	0.00000	0.99375	0.00596	0.00011	0.00029	0.00000	0.00000
52	0.99746	0.00225	0.00007	0.00029	0.00000	0.00000	0.99363	0.00612	0.00017	0.00024	0.00000	0.00000
53	0.99703	0.00272	0.00011	0.00025	0.00000	0.00000	0.99349	0.00633	0.00006	0.00018	0.00000	0.00000
54	0.99701	0.00267	0.00012	0.00032	0.00000	0.00000	0.99368	0.00612	0.00017	0.00021	0.00000	0.00000
55	0.99692	0.00264	0.00016	0.00044	0.00000	0.00000	0.99340	0.00631	0.00021	0.00029	0.00000	0.00000
56	0.99718	0.00240	0.00021	0.00043	0.00000	0.00000	0.99310	0.00657	0.00022	0.00033	0.00000	0.00000
57	0.99653	0.00305	0.00016	0.00043	0.00000	0.00000	0.99284	0.00686	0.00008	0.00030	0.00000	0.00000
58	0.99690	0.00273	0.00016	0.00037	0.00000	0.00000	0.99253	0.00711	0.00012	0.00037	0.00000	0.00000
59	0.99695	0.00269	0.00010	0.00036	0.00000	0.00000	0.99249	0.00711	0.00017	0.00040	0.00000	0.00000
60	0.99709	0.00267	0.00012	0.00025	0.00000	0.00000	0.99253	0.00721	0.00017	0.00025	0.00000	0.00000
61	0.99696	0.00283	0.00015	0.00021	0.00000	0.00000	0.99243	0.00737	0.00017	0.00021	0.00000	0.00000
62	0.99658	0.00312	0.00014	0.00030	0.00000	0.00000	0.99271	0.00707	0.00013	0.00022	0.00000	0.00000
63	0.99711	0.00262	0.00013	0.00027	0.00000	0.00000	0.99241	0.00732	0.00012	0.00027	0.00000	0.00000
64	0.99715	0.00260	0.00013	0.00025	0.00000	0.00000	0.99221	0.00750	0.00011	0.00030	0.00000	0.00000
65	0.99685	0.00292	0.00013	0.00023	0.00000	0.00000	0.99143	0.00832	0.00016	0.00024	0.00000	0.00000
66	0.99627	0.00340	0.00012	0.00034	0.00000	0.00000	0.99150	0.00814	0.00010	0.00035	0.00000	0.00000
67	0.99657	0.00308	0.00014	0.00036	0.00000	0.00000	0.99171	0.00785	0.00018	0.00044	0.00000	0.00000
68	0.99648	0.00311	0.00009	0.00041	0.00000	0.00000	0.99105	0.00854	0.00004	0.00040	0.00000	0.00000
69	0.99650	0.00313	0.00011	0.00037	0.00000	0.00000	0.99051	0.00910	0.00022	0.00040	0.00000	0.00000
70	0.99636	0.00328	0.00007	0.00036	0.00000	0.00000	0.99090	0.00881	0.00019	0.00029	0.00000	0.00000
71	0.99643	0.00321	0.00015	0.00036	0.00000	0.00000	0.99076	0.00899	0.00013	0.00025	0.00000	0.00000
72	0.99625	0.00343	0.00009	0.00032	0.00000	0.00000	0.98997	0.00977	0.00009	0.00026	0.00000	0.00000
73	0.99636	0.00335	0.00011	0.00028	0.00000	0.00000	0.99061	0.00908	0.00016	0.00031	0.00000	0.00000
74	0.99612	0.00363	0.00012	0.00025	0.00000	0.00000	0.99046	0.00921	0.00012	0.00033	0.00000	0.00000
75	0.99640	0.00335	0.00005	0.00026	0.00000	0.00000	0.99072	0.00891	0.00018	0.00037	0.00000	0.00000
76	0.99592	0.00378	0.00010	0.00030	0.00000	0.00000	0.99036	0.00924	0.00014	0.00040	0.00000	0.00000
77	0.99625	0.00348	0.00012	0.00027	0.00000	0.00000	0.98988	0.00971	0.00016	0.00040	0.00000	0.00000
78	0.99625	0.00353	0.00012	0.00021	0.00000	0.00000	0.99007	0.00958	0.00015	0.00035	0.00000	0.00000
79	0.99625	0.00354	0.00005	0.00020	0.00000	0.00000	0.98969	0.01004	0.00012	0.00027	0.00000	0.00000
80	0.99574	0.00398	0.00014	0.00028	0.00000	0.00000	0.98940	0.01035	0.00012	0.00024	0.00000	0.00000
81	0.99622	0.00360	0.00012	0.00019	0.00000	0.00000	0.98938	0.01039	0.00023	0.00023	0.00000	0.00000
82	0.99571	0.00407	0.00012	0.00022	0.00000	0.00000	0.98865	0.01105	0.00014	0.00030	0.00000	0.00000
83	0.99572	0.00400	0.00010	0.00028	0.00000	0.00000	0.98967	0.01012	0.00017	0.00021	0.00000	0.00000
84	0.99590	0.00381	0.00014	0.00028	0.00000	0.00000	0.98862	0.01113	0.00015	0.00024	0.00000	0.00000
85	0.99548	0.00426	0.00012	0.00027	0.00000	0.00000	0.98883	0.01086	0.00013	0.00031	0.00000	0.00000
86	0.99549	0.00412	0.00020	0.00038	0.00000	0.00000	0.98838	0.01136	0.00014	0.00026	0.00000	0.00000
87	0.99516	0.00445	0.00010	0.00039	0.00000	0.00000	0.98818	0.01161	0.00016	0.00022	0.00000	0.00000
88	0.99556	0.00414	0.00009	0.00029	0.00000	0.00000	0.98838	0.01144	0.00011	0.00018	0.00000	0.00000
89	0.99574	0.00391	0.00015	0.00035	0.00000	0.00000	0.98773	0.01208	0.00013	0.00019	0.00000	0.00000
90	0.99575	0.00390	0.00012	0.00035	0.00000	0.00000	0.98707	0.01276	0.00014	0.00017	0.00000	0.00000
91	0.99552	0.00421	0.00014	0.00028	0.00000	0.00000	0.98609	0.01369	0.00012	0.00022	0.00000	0.00000
92	0.99512	0.00451	0.00017	0.00037	0.00000	0.00000	0.98648	0.01315	0.00007	0.00036	0.00000	0.00000
93	0.99459	0.00506	0.00012	0.00035	0.00000	0.00000	0.98572	0.01393	0.00008	0.00034	0.00000	0.00000
94	0.99473	0.00492	0.00014	0.00035	0.00000	0.00000	0.98514	0.01458	0.00009	0.00028	0.00000	0.00000
95	0.99480	0.00481	0.00011	0.00039	0.00000	0.00000	0.98574	0.01395	0.00013	0.00032	0.00000	0.00000
96	0.99423	0.00548	0.00015	0.00029	0.00000	0.00000	0.98702	0.01273	0.00017	0.00025	0.00000	0.00000
97	0.99449	0.00523	0.00007	0.00029	0.00000	0.00000	0.98565	0.01410	0.00007	0.00024	0.00000	0.00000
98	0.99517	0.00452	0.00011	0.00030	0.00000	0.00000	0.98464	0.01509	0.00006	0.00027	0.00000	0.00000
99	0.99390	0.00588	0.00012	0.00022	0.00000	0.00000	0.98488	0.01477	0.00015	0.00034	0.00000	0.00000
100	0.99440	0.00537	0.00014	0.00023	0.00000	0.00000	0.98566	0.01397	0.00012	0.00037	0.00000	0.00000
101	0.99446	0.00527	0.00015	0.00027	0.00000	0.00000	0.98525	0.01434	0.00010	0.00042	0.00000	0.00000
102	0.99385	0.00573	0.00020	0.00042	0.00000	0.00000	0.98499	0.01458	0.00014	0.00043	0.00000	0.00000
103	0.99385	0.00574	0.00013	0.00041	0.00000	0.00000	0.98459	0.01491	0.00010	0.00051	0.00000	0.00000
104	0.99380	0.00576	0.00008	0.00044	0.00000	0.00000	0.98393	0.01553	0.00016	0.00053	0.00000	0.00000
105	0.99369	0.00588	0.00012	0.00044	0.00000	0.00000	0.98345	0.01603	0.00008	0.00052	0.00000	0.00000
106	0.99351	0.00604	0.00013	0.00045	0.00000	0.00000	0.98344	0.01607	0.00014	0.00049	0.00000	0.00000
107	0.99350	0.00604	0.00013	0.00046	0.00000	0.00000	0.98320	0.01631	0.00016	0.00049	0.00000	0.00000
108	0.99350	0.00600	0.00013	0.00050	0.00000	0.00000	0.98192	0.01760	0.00010	0.00048	0.00000	0.00000
109	0.99318	0.00636	0.00013	0.00046	0.00000	0.00000	0.98283	0.01666	0.00008	0.00051	0.00000	0.00000
110	0.99340	0.00612	0.00018	0.00047	0.00000	0.00000	0.98199	0.01753	0.00013	0.00048	0.00000	0.00000
111	0.99331	0.00626	0.00004	0.00043	0.00000	0.00000	0.98169	0.01777	0.00011	0.00054	0.00000	0.00000
112	0.99335	0.00633	0.00014	0.00032	0.00000	0.00000	0.98175	0.01776	0.00014	0.00049	0.00000	0.00000
113	0.99291	0.00671	0.00009	0.00038	0.00000	0.00000	0.98047	0.01906	0.00015	0.00047	0.00000	0.00000
114	0.99291	0.00661	0.00013	0.00048	0.00000	0.00000	0.98068	0.01883	0.00009	0.00049	0.00000	0.00000
115	0.99262	0.00691	0.00015	0.00047	0.00000	0.00000	0.97987	0.01962	0.00016	0.00051	0.00000	0.00000
116	0.99233	0.00733	0.00021	0.00034	0.00000	0.00000	0.97908	0.02039	0.00014	0.00053	0.00000	0.00000
117	0.99278	0.00685	0.00012	0.00038	0.00000	0.00000	0.97667	0.02291	0.00015	0.00042	0.00000	0.00000
118	0.99301	0.00668	0.00008	0.00031	0.00000	0.00000	0.97805	0.02158	0.00012	0.00036	0.00000	0.00000
119	0.99227	0.00730	0.00008	0.00043	0.00000	0.00000	0.97864	0.02087	0.00018	0.00049	0.00000	0.00000
120	0.99221	0.00733	0.00008	0.00047	0.00000	0.00000	0.98020	0.01939	0.00004	0.00041	0.00000	0.00000
121	0.99153	0.00799	0.00010	0.00048	0.00000	0.00000	0.97857	0.02102	0.00020	0.00042	0.00000	0.00000
122	0.99184	0.00778	0.00013	0.00039	0.00000	0.00000	0.97792	0.02164	0.00014	0.00044	0.00000	0.00000
123	0.99111	0.00847	0.00016	0.00042	0.00000	0.00000	0.97853	0.02106	0.00013	0.00041	0.00000	0.00000
124	0.99075	0.00881	0.00012	0.00044	0.00000	0.00000	0.97738	0.02214	0.00018	0.00048	0.00000	0.00000
125	0.98950	0.00986	0.00012	0.00045	0.00019	0.00000	0.97723	0.02239	0.00018	0.00038	0.00000	0.00000
126	0.99050	0.00883	0.00010	0.00048	0.00019	0.00000	0.97648	0.02306	0.00010	0.00045	0.00000	0.00000
127	0.99079	0.00868	0.00014	0.00035	0.00019	0.00000	0.97613	0.02338	0.00011	0.00049	0.00000	0.00000
128	0.98977	0.00958	0.00012	0.00046	0.00019	0.00000	0.97588	0.02365	0.00015	0.00047	0.00000	0.00000
129	0.98949	0.00991	0.00009	0.00042	0.00018	0.00000	0.97544	0.02408	0.00013	0.00048	0.00000	0.00000
130	0.99084	0.00877	0.00012	0.00039	0.00000	0.00000	0.97427	0.02534	0.00005	0.00039	0.00000	0.00000
131	0.99100	0.00860	0.00007	0.00040	0.00000	0.00000	0.97151	0.02806	0.00012	0.00043	0.00000	0.00000
132	0.99071	0.00890	0.00009	0.00039	0.00000	0.00000	0.97371	0.02570	0.00009	0.00046	0.00012	0.00000
133	0.98989	0.00945	0.00015	0.00048	0.00019	0.00000	0.97402	0.02552	0.00007	0.00046	0.00000	0.00000
134	0.99034	0.00918	0.00014	0.00048	0.00000	0.00000	0.97380	0.02583	0.00014	0.00036	0.00000	0.00000
135	0.98982	0.00970	0.00007	0.00049	0.00000	0.00000	0.97136	0.02817	0.00014	0.00046	0.00000	0.00000
136	0.98934	0.01031	0.00013	0.00035	0.00000	0.00000	0.97152	0.02805	0.00015	0.00044	0.00000	0.00000
137	0.98919	0.01044	0.00017	0.00037	0.00000	0.00000	0.97185	0.02770	0.00008	0.00045	0.00000	0.00000
138	0.98865	0.01099	0.00015	0.00035	0.00000	0.00000	0.97097	0.02858	0.00022	0.00046	0.00000	0.00000
139	0.98829	0.01128	0.00011	0.00043	0.00000	0.00000	0.97100	0.02854	0.00016	0.00046	0.00000	0.00000
140	0.98822	0.01140	0.00013	0.00039	0.00000	0.00000	0.97038	0.02923	0.00019	0.00039	0.00000	0.00000
141	0.98815	0.01150	0.00011	0.00035	0.00000	0.00000	0.97005	0.02945	0.00017	0.00049	0.00000	0.00000
142	0.98835	0.01129	0.00013	0.00036	0.00000	0.00000	0.97004	0.02951	0.00007	0.00045	0.00000	0.00000
143	0.98776	0.01196	0.00010	0.00028	0.00000	0.00000	0.96870	0.03091	0.00014	0.00039	0.00000	0.00000
144	0.98832	0.01137	0.00011	0.00032	0.00000	0.00000	0.96821	0.03141	0.00011	0.00038	0.00000	0.00000
145	0.98733	0.01238	0.00007	0.00029	0.00000	0.00000	0.96766	0.03200	0.00016	0.00034	0.00000	0.00000
146	0.98793	0.01193	0.00011	0.00014	0.00000	0.00000	0.96682	0.03292	0.00019	0.00026	0.00000	0.00000
147	0.98662	0.01326	0.00006	0.00013	0.00000	0.00000	0.96653	0.03323	0.00009	0.00024	0.00000	0.00000
148	0.98711	0.01278	0.00005	0.00011	0.00000	0.00000	0.96556	0.03431	0.00006	0.00013	0.00000	0.00000
149	0.98596	0.01400	0.00000	0.00004	0.00000	0.00000	0.96600	0.03392	0.00002	0.00008	0.00000	0.00000
150	0.98350	0.01650	0.00000	0.00000	0.00000	0.00000	0.96469	0.03531	0.00000	0.00000	0.00000	0.00000
151	0.96932	0.03068	0.00000	0.00000	0.00000	0.00000	0.93218	0.06782	0.00000	0.00000	0.00000	0.00000
