#Mean	449.232
#Median	419
#Mode	356
#STDev	184.320
#PercentOfPairs	99.991
#InsertSize	Count
5	1
27	1
35	5
36	1
37	5
38	2
39	2
40	2
41	4
42	10
43	6
44	8
45	3
46	4
47	4
48	1
49	2
50	4
51	5
52	10
53	4
54	12
55	9
56	6
57	8
58	2
59	2
60	4
61	7
62	7
63	11
64	9
65	8
66	12
67	6
68	8
69	7
70	8
71	13
72	10
73	24
74	21
75	13
76	6
77	14
78	7
79	5
80	14
81	7
82	12
83	19
84	12
85	21
86	10
87	15
88	15
89	6
90	14
91	18
92	14
93	25
94	20
95	29
96	19
97	15
98	9
99	9
100	16
101	16
102	19
103	26
104	39
105	39
106	25
107	27
108	21
109	14
110	15
111	11
112	25
113	25
114	44
115	45
116	27
117	27
118	22
119	17
120	23
121	18
122	27
123	39
124	49
125	41
126	32
127	28
128	34
129	20
130	22
131	22
132	25
133	42
134	43
135	37
136	46
137	40
138	31
139	42
140	29
141	32
142	24
143	55
144	49
145	55
146	43
147	40
148	46
149	42
150	26
151	46
152	38
153	34
154	68
155	71
156	69
157	59
158	57
159	31
160	42
161	42
162	54
163	45
164	55
165	66
166	69
167	64
168	63
169	56
170	53
171	53
172	51
173	55
174	64
175	78
176	91
177	83
178	89
179	57
180	68
181	61
182	53
183	63
184	90
185	75
186	96
187	111
188	83
189	83
190	74
191	69
192	78
193	78
194	60
195	98
196	90
197	117
198	105
199	102
200	73
201	90
202	97
203	76
204	90
205	94
206	127
207	118
208	137
209	108
210	118
211	93
212	83
213	85
214	91
215	105
216	94
217	121
218	137
219	132
220	139
221	138
222	100
223	128
224	106
225	110
226	114
227	175
228	150
229	155
230	175
231	138
232	147
233	126
234	115
235	107
236	132
237	155
238	130
239	204
240	166
241	162
242	173
243	154
244	153
245	144
246	130
247	171
248	197
249	204
250	191
251	182
252	163
253	133
254	146
255	157
256	170
257	166
258	187
259	219
260	210
261	218
262	179
263	181
264	208
265	168
266	176
267	190
268	195
269	225
270	214
271	242
272	206
273	214
274	186
275	198
276	185
277	221
278	227
279	212
280	263
281	249
282	210
283	239
284	233
285	192
286	201
287	231
288	196
289	251
290	219
291	236
292	244
293	250
294	237
295	222
296	235
297	246
298	247
299	240
300	255
301	265
302	264
303	285
304	239
305	270
306	267
307	274
308	244
309	250
310	312
311	292
312	262
313	293
314	281
315	241
316	237
317	247
318	274
319	257
320	286
321	278
322	314
323	333
324	292
325	281
326	251
327	269
328	242
329	260
330	274
331	321
332	304
333	296
334	279
335	295
336	274
337	287
338	301
339	246
340	288
341	285
342	303
343	306
344	325
345	331
346	304
347	273
348	265
349	286
350	264
351	294
352	316
353	292
354	311
355	303
356	361
357	288
358	303
359	259
360	281
361	318
362	316
363	295
364	318
365	313
366	301
367	284
368	245
369	286
370	290
371	281
372	289
373	323
374	312
375	308
376	346
377	332
378	320
379	283
380	310
381	297
382	299
383	290
384	311
385	290
386	326
387	302
388	318
389	272
390	312
391	277
392	302
393	297
394	330
395	293
396	347
397	321
398	314
399	284
400	276
401	277
402	291
403	285
404	306
405	303
406	314
407	303
408	277
409	274
410	270
411	314
412	305
413	252
414	284
415	286
416	298
417	328
418	301
419	249
420	277
421	298
422	242
423	250
424	293
425	297
426	285
427	275
428	269
429	310
430	282
431	247
432	247
433	256
434	261
435	274
436	300
437	286
438	277
439	272
440	267
441	242
442	263
443	294
444	240
445	264
446	273
447	255
448	304
449	253
450	273
451	269
452	232
453	253
454	225
455	249
456	266
457	275
458	282
459	283
460	284
461	256
462	259
463	246
464	231
465	257
466	255
467	226
468	255
469	240
470	241
471	216
472	228
473	246
474	227
475	233
476	232
477	230
478	228
479	217
480	254
481	255
482	237
483	213
484	205
485	230
486	220
487	236
488	209
489	229
490	255
491	217
492	192
493	208
494	196
495	191
496	215
497	241
498	215
499	200
500	237
501	220
502	206
503	195
504	183
505	201
506	196
507	212
508	197
509	207
510	187
511	226
512	203
513	156
514	198
515	199
516	204
517	187
518	184
519	180
520	164
