#Mean	39.079
#Median	38
#Mode	39
#STDev	7.426
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	2
8	2
9	0
10	5
11	3
12	8
13	5
14	11
15	14
16	20
17	25
18	32
19	57
20	89
21	115
22	168
23	230
24	379
25	606
26	952
27	1454
28	1923
29	2651
30	3463
31	4266
32	4885
33	4900
34	5866
35	6207
36	6798
37	7039
38	6995
39	7141
40	6513
41	6068
42	5391
43	4664
44	4185
45	3553
46	3111
47	2650
48	2458
49	1987
50	1560
51	1588
52	1369
53	1219
54	1088
55	832
56	644
57	440
58	286
59	220
60	171
61	120
62	115
63	80
64	62
65	75
66	66
67	40
68	41
69	43
70	31
71	30
72	43
73	26
74	35
75	25
76	29
77	20
78	17
79	10
80	7
81	3
82	2
83	2
84	1
85	0
86	0
87	2
88	0
89	0
90	0
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
