#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.99533	0.00433	0.00000	0.00000	0.00034	0.00000	0.99552	0.00448	0.00000	0.00000	0.00000	0.00000
2	0.99486	0.00488	0.00000	0.00000	0.00027	0.00000	0.99519	0.00481	0.00000	0.00000	0.00000	0.00000
3	0.99599	0.00397	0.00000	0.00000	0.00004	0.00000	0.99507	0.00488	0.00000	0.00005	0.00000	0.00000
4	0.99579	0.00402	0.00000	0.00007	0.00012	0.00000	0.99471	0.00518	0.00001	0.00011	0.00000	0.00000
5	0.99622	0.00367	0.00004	0.00011	0.00000	0.00000	0.99198	0.00789	0.00004	0.00013	0.00000	0.00000
6	0.99679	0.00304	0.00004	0.00016	0.00001	0.00000	0.99410	0.00572	0.00003	0.00018	0.00000	0.00000
7	0.99661	0.00321	0.00003	0.00018	0.00000	0.00000	0.99558	0.00424	0.00006	0.00018	0.00000	0.00000
8	0.99684	0.00300	0.00008	0.00016	0.00000	0.00000	0.99522	0.00454	0.00004	0.00024	0.00000	0.00000
9	0.99628	0.00352	0.00006	0.00020	0.00000	0.00000	0.99533	0.00444	0.00006	0.00023	0.00000	0.00000
10	0.99653	0.00331	0.00009	0.00016	0.00000	0.00000	0.99641	0.00337	0.00010	0.00022	0.00000	0.00000
11	0.99698	0.00285	0.00006	0.00017	0.00000	0.00000	0.99629	0.00352	0.00005	0.00019	0.00000	0.00000
12	0.99779	0.00201	0.00009	0.00020	0.00000	0.00000	0.99604	0.00375	0.00008	0.00021	0.00000	0.00000
13	0.99742	0.00236	0.00007	0.00022	0.00000	0.00000	0.99683	0.00284	0.00006	0.00032	0.00000	0.00000
14	0.99771	0.00209	0.00005	0.00020	0.00000	0.00000	0.99646	0.00321	0.00010	0.00032	0.00000	0.00000
15	0.99748	0.00232	0.00003	0.00020	0.00000	0.00000	0.99618	0.00358	0.00004	0.00025	0.00000	0.00000
16	0.99748	0.00229	0.00007	0.00023	0.00000	0.00000	0.99607	0.00364	0.00006	0.00029	0.00000	0.00000
17	0.99700	0.00277	0.00010	0.00024	0.00000	0.00000	0.99586	0.00389	0.00011	0.00025	0.00000	0.00000
18	0.99738	0.00242	0.00006	0.00021	0.00000	0.00000	0.99579	0.00395	0.00006	0.00027	0.00000	0.00000
19	0.99794	0.00183	0.00007	0.00024	0.00000	0.00000	0.99578	0.00395	0.00007	0.00028	0.00000	0.00000
20	0.99735	0.00242	0.00015	0.00023	0.00000	0.00000	0.99631	0.00343	0.00014	0.00026	0.00000	0.00000
21	0.99775	0.00203	0.00012	0.00022	0.00000	0.00000	0.99579	0.00393	0.00007	0.00028	0.00000	0.00000
22	0.99722	0.00254	0.00009	0.00024	0.00000	0.00000	0.99612	0.00358	0.00015	0.00031	0.00000	0.00000
23	0.99682	0.00289	0.00010	0.00029	0.00000	0.00000	0.99576	0.00398	0.00008	0.00027	0.00000	0.00000
24	0.99692	0.00285	0.00010	0.00023	0.00000	0.00000	0.99591	0.00386	0.00009	0.00023	0.00000	0.00000
25	0.99693	0.00284	0.00007	0.00023	0.00000	0.00000	0.99628	0.00349	0.00010	0.00023	0.00000	0.00000
26	0.99570	0.00401	0.00012	0.00029	0.00000	0.00000	0.99644	0.00332	0.00015	0.00024	0.00000	0.00000
27	0.99693	0.00288	0.00006	0.00019	0.00000	0.00000	0.99604	0.00378	0.00006	0.00018	0.00000	0.00000
28	0.99629	0.00350	0.00012	0.00021	0.00000	0.00000	0.99620	0.00363	0.00013	0.00017	0.00000	0.00000
29	0.99689	0.00289	0.00008	0.00022	0.00000	0.00000	0.99608	0.00375	0.00012	0.00017	0.00000	0.00000
30	0.99632	0.00341	0.00010	0.00027	0.00000	0.00000	0.99561	0.00420	0.00011	0.00019	0.00000	0.00000
31	0.99630	0.00339	0.00006	0.00030	0.00000	0.00000	0.99558	0.00416	0.00010	0.00027	0.00000	0.00000
32	0.99632	0.00344	0.00009	0.00024	0.00000	0.00000	0.99600	0.00379	0.00015	0.00021	0.00000	0.00000
33	0.99702	0.00275	0.00005	0.00023	0.00000	0.00000	0.99585	0.00396	0.00009	0.00019	0.00000	0.00000
34	0.99700	0.00281	0.00012	0.00020	0.00000	0.00000	0.99558	0.00414	0.00004	0.00029	0.00000	0.00000
35	0.99725	0.00254	0.00013	0.00021	0.00000	0.00000	0.99609	0.00365	0.00012	0.00026	0.00000	0.00000
36	0.99719	0.00263	0.00011	0.00017	0.00000	0.00000	0.99536	0.00442	0.00016	0.00023	0.00000	0.00000
37	0.99690	0.00294	0.00011	0.00016	0.00000	0.00000	0.99502	0.00473	0.00011	0.00025	0.00000	0.00000
38	0.99709	0.00277	0.00012	0.00014	0.00000	0.00000	0.99527	0.00449	0.00014	0.00024	0.00000	0.00000
39	0.99652	0.00325	0.00012	0.00023	0.00000	0.00000	0.99491	0.00484	0.00009	0.00026	0.00000	0.00000
40	0.99681	0.00300	0.00023	0.00019	0.00000	0.00000	0.99571	0.00411	0.00016	0.00018	0.00000	0.00000
41	0.99690	0.00292	0.00008	0.00018	0.00000	0.00000	0.99508	0.00473	0.00003	0.00019	0.00000	0.00000
42	0.99689	0.00292	0.00014	0.00019	0.00000	0.00000	0.99540	0.00441	0.00010	0.00019	0.00000	0.00000
