#Deviation	2.5454	3.2718
#Avg_STDev	6.070
#Diversity	3.609
#Entropy	0.036
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.871	22.120	22.962	35.674	25.845	23.351
2	35.649	21.155	21.249	35.820	25.841	23.218
3	35.988	22.351	23.010	35.859	25.955	22.711
4	36.005	22.387	22.971	35.917	26.230	22.680
5	36.027	22.480	22.873	35.815	25.776	21.112
6	36.197	22.664	23.376	35.903	26.179	22.153
7	36.156	22.680	23.397	35.881	26.084	22.996
8	36.135	22.647	23.404	35.805	25.831	22.829
9	36.224	22.770	23.175	35.930	26.238	23.055
10	36.106	22.618	23.483	35.785	25.702	23.737
11	36.238	22.804	23.306	35.951	26.347	23.652
12	36.127	22.644	24.830	35.789	25.677	23.379
13	36.187	22.703	23.721	35.908	26.103	24.034
14	36.147	22.686	24.713	35.838	25.889	23.569
15	36.126	22.627	23.653	35.816	25.847	23.473
16	36.137	22.683	24.443	31.217	10.144	10.034
17	36.076	22.568	23.169	35.705	25.488	23.444
18	36.096	22.630	23.292	35.591	25.128	22.970
19	36.102	22.631	24.909	35.686	25.400	23.143
20	36.115	22.655	24.163	35.706	25.405	23.143
21	36.116	22.646	24.909	35.631	25.215	23.075
22	36.064	22.576	23.630	35.662	25.343	23.183
23	36.024	22.521	22.844	35.670	25.339	22.912
24	36.057	22.559	23.128	35.639	25.299	22.880
25	36.012	22.483	22.679	35.596	25.147	23.622
26	35.987	22.402	22.355	35.606	25.168	23.009
27	35.976	22.399	24.005	35.584	25.082	22.668
28	35.947	22.323	23.089	35.568	25.023	22.918
29	35.962	22.383	24.301	35.552	25.004	22.816
30	35.916	22.290	22.679	35.518	24.939	22.735
31	35.956	22.383	22.758	35.482	24.759	22.530
32	35.936	22.335	22.863	35.492	24.823	22.760
33	35.923	22.327	24.506	35.478	24.762	22.930
34	35.937	22.328	24.552	35.441	24.685	22.368
35	35.906	22.268	24.388	35.429	24.650	22.667
36	36.069	27.478	24.095	35.397	24.795	22.272
37	36.075	27.436	24.062	35.408	24.767	22.565
