#Mean	38.777
#Median	38
#Mode	38
#STDev	7.088
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	2
11	3
12	3
13	4
14	12
15	7
16	17
17	16
18	25
19	45
20	62
21	92
22	129
23	218
24	374
25	490
26	839
27	1303
28	1879
29	2499
30	3268
31	4106
32	4584
33	4470
34	5462
35	5858
36	6319
37	6666
38	6801
39	6647
40	6100
41	5628
42	4912
43	4403
44	3794
45	3226
46	2705
47	2345
48	2038
49	1699
50	1328
51	1412
52	1148
53	1011
54	864
55	650
56	449
57	291
58	222
59	144
60	104
61	105
62	59
63	57
64	45
65	34
66	41
67	25
68	16
69	18
70	20
71	23
72	21
73	20
74	21
75	14
76	17
77	15
78	10
79	7
80	5
81	1
82	1
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
