#Deviation	2.0898	2.2130
#Avg_STDev	5.710
#Diversity	3.194
#Entropy	0.033
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.545	21.866	24.343	35.569	25.581	24.420
2	35.539	21.932	23.164	35.785	25.918	24.166
3	35.796	22.388	24.061	35.843	26.078	23.963
4	35.778	22.350	24.141	35.875	26.191	24.595
5	35.907	22.675	24.586	35.773	25.944	23.059
6	36.083	22.916	25.206	35.921	26.470	23.882
7	36.019	22.829	25.409	35.825	26.064	24.647
8	35.982	22.772	25.176	35.776	25.855	24.410
9	36.016	22.802	24.899	35.865	26.174	24.157
10	35.970	22.789	24.978	35.800	25.962	25.164
11	36.113	22.978	25.128	35.910	26.401	24.512
12	36.004	22.846	27.648	35.693	25.707	24.321
13	36.062	22.878	26.300	35.841	26.090	25.448
14	36.000	22.833	26.722	35.800	25.999	24.909
15	36.024	22.845	26.331	35.778	25.914	24.616
16	35.986	22.817	27.246	35.738	25.765	24.360
17	35.955	22.766	25.396	35.748	25.842	24.574
18	35.960	22.801	25.887	35.736	25.728	24.798
19	36.000	22.853	27.999	35.738	25.753	24.491
20	36.006	22.876	26.604	35.757	25.843	25.499
21	36.004	22.871	27.039	35.731	25.763	24.233
22	35.984	22.822	25.804	35.715	25.698	24.574
23	35.949	22.768	25.485	35.702	25.653	24.262
24	35.971	22.805	25.058	35.690	25.614	24.765
25	35.923	22.745	25.070	35.675	25.585	24.282
26	35.869	22.592	23.745	35.680	25.642	24.262
27	35.860	22.575	25.359	35.658	25.506	23.900
28	35.848	22.541	24.412	35.662	25.552	24.658
29	35.841	22.558	25.901	35.650	25.507	24.430
30	35.845	22.558	25.001	35.633	25.484	23.794
31	35.833	22.538	24.294	35.602	25.372	23.954
32	35.813	22.499	24.503	35.575	25.263	23.734
33	35.808	22.498	26.193	35.581	25.280	24.370
34	35.815	22.501	26.654	35.580	25.315	23.838
35	35.802	22.492	26.522	35.557	25.248	23.759
36	36.008	27.227	26.103	35.437	24.990	23.540
37	35.959	26.987	26.315	35.474	25.167	23.733
38	35.941	26.933	26.088	35.504	25.165	23.811
39	35.958	26.934	26.015	35.494	25.174	23.657
40	35.935	26.864	26.653	35.519	25.255	24.081
41	35.939	26.901	26.223	35.481	25.154	23.785
42	35.880	26.592	25.575	35.480	25.170	23.935
43	35.930	26.865	25.929	35.495	25.161	23.890
44	35.893	26.638	25.858	35.467	25.107	23.793
45	35.909	26.816	26.044	35.452	25.043	23.828
46	35.895	26.674	26.161	35.441	25.016	23.555
47	35.889	26.709	25.653	35.429	24.939	23.639
48	35.889	26.718	25.985	35.377	24.823	23.555
49	35.874	26.581	25.871	35.402	24.875	23.465
50	35.842	26.476	26.086	35.386	24.837	23.530
51	35.866	26.581	25.871	35.363	24.794	23.393
52	35.861	26.506	25.665	35.387	24.869	23.432
53	35.843	26.505	25.381	35.347	24.752	23.345
54	35.842	26.401	25.559	35.330	24.747	23.085
55	35.833	26.459	25.054	35.309	24.654	22.889
56	35.807	26.343	24.996	35.312	24.631	23.399
57	35.817	26.409	25.545	35.279	24.565	22.798
58	35.802	26.296	25.183	35.247	24.487	22.516
59	35.779	26.195	25.925	35.228	24.434	22.575
60	35.767	26.170	24.995	35.272	24.504	22.509
61	35.773	26.181	25.171	35.217	24.409	22.451
62	35.737	26.074	25.134	35.112	24.167	22.312
63	35.714	25.980	24.642	35.039	23.981	21.848
64	35.738	26.090	24.771	35.164	24.218	22.317
65	35.724	26.024	24.610	35.216	24.361	22.218
