#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.99651	0.00325	0.00000	0.00000	0.00024	0.00000	0.99651	0.00349	0.00000	0.00000	0.00000	0.00000
2	0.99298	0.00535	0.00000	0.00000	0.00167	0.00000	0.99606	0.00394	0.00000	0.00000	0.00000	0.00000
3	0.99592	0.00406	0.00000	0.00002	0.00000	0.00000	0.99611	0.00385	0.00000	0.00004	0.00000	0.00000
4	0.99598	0.00398	0.00001	0.00005	0.00000	0.00000	0.99666	0.00329	0.00000	0.00005	0.00000	0.00000
5	0.99614	0.00378	0.00003	0.00006	0.00003	0.00000	0.99463	0.00528	0.00003	0.00010	0.00000	0.00000
6	0.99640	0.00336	0.00004	0.00008	0.00016	0.00000	0.99565	0.00424	0.00001	0.00011	0.00000	0.00000
7	0.99642	0.00344	0.00004	0.00014	0.00000	0.00000	0.99641	0.00345	0.00002	0.00014	0.00000	0.00000
8	0.99668	0.00318	0.00006	0.00014	0.00000	0.00000	0.99655	0.00332	0.00007	0.00013	0.00000	0.00000
9	0.99649	0.00329	0.00007	0.00022	0.00000	0.00000	0.99663	0.00322	0.00005	0.00015	0.00000	0.00000
10	0.99645	0.00334	0.00006	0.00021	0.00000	0.00000	0.99653	0.00335	0.00007	0.00012	0.00000	0.00000
11	0.99643	0.00337	0.00006	0.00020	0.00000	0.00000	0.99687	0.00298	0.00004	0.00015	0.00000	0.00000
12	0.99831	0.00147	0.00010	0.00023	0.00000	0.00000	0.99660	0.00330	0.00008	0.00010	0.00000	0.00000
13	0.99677	0.00299	0.00006	0.00024	0.00000	0.00000	0.99718	0.00267	0.00005	0.00014	0.00000	0.00000
14	0.99788	0.00190	0.00004	0.00022	0.00000	0.00000	0.99679	0.00306	0.00005	0.00015	0.00000	0.00000
15	0.99686	0.00294	0.00007	0.00020	0.00000	0.00000	0.99632	0.00355	0.00005	0.00013	0.00000	0.00000
16	0.99785	0.00194	0.00006	0.00021	0.00000	0.00000	0.86890	0.00295	0.00003	0.00012	0.12803	0.00000
17	0.99622	0.00347	0.00003	0.00030	0.00000	0.00000	0.99643	0.00341	0.00013	0.00016	0.00000	0.00000
18	0.99701	0.00273	0.00010	0.00025	0.00000	0.00000	0.99609	0.00380	0.00008	0.00011	0.00000	0.00000
19	0.99802	0.00178	0.00006	0.00020	0.00000	0.00000	0.99634	0.00353	0.00003	0.00013	0.00000	0.00000
20	0.99721	0.00260	0.00005	0.00019	0.00000	0.00000	0.99638	0.00349	0.00005	0.00014	0.00000	0.00000
21	0.99815	0.00167	0.00005	0.00018	0.00000	0.00000	0.99567	0.00422	0.00006	0.00012	0.00000	0.00000
22	0.99696	0.00281	0.00006	0.00024	0.00000	0.00000	0.99625	0.00359	0.00003	0.00016	0.00000	0.00000
23	0.99631	0.00351	0.00005	0.00018	0.00000	0.00000	0.99614	0.00374	0.00004	0.00012	0.00000	0.00000
24	0.99628	0.00353	0.00004	0.00019	0.00000	0.00000	0.99623	0.00359	0.00002	0.00018	0.00000	0.00000
25	0.99584	0.00396	0.00006	0.00021	0.00000	0.00000	0.99578	0.00408	0.00005	0.00014	0.00000	0.00000
26	0.99529	0.00446	0.00009	0.00025	0.00000	0.00000	0.99596	0.00386	0.00007	0.00018	0.00000	0.00000
27	0.99739	0.00236	0.00006	0.00024	0.00001	0.00000	0.99565	0.00420	0.00012	0.00016	0.00000	0.00000
28	0.99609	0.00371	0.00005	0.00020	0.00000	0.00000	0.99574	0.00412	0.00007	0.00014	0.00000	0.00000
29	0.99748	0.00235	0.00008	0.00016	0.00000	0.00000	0.99570	0.00416	0.00008	0.00014	0.00000	0.00000
30	0.99597	0.00387	0.00008	0.00017	0.00000	0.00000	0.99544	0.00440	0.00007	0.00016	0.00000	0.00000
31	0.99627	0.00353	0.00009	0.00019	0.00000	0.00000	0.99531	0.00448	0.00007	0.00021	0.00000	0.00000
32	0.99601	0.00385	0.00005	0.00014	0.00000	0.00000	0.99545	0.00440	0.00005	0.00015	0.00000	0.00000
33	0.99786	0.00201	0.00008	0.00014	0.00000	0.00000	0.99607	0.00377	0.00008	0.00016	0.00000	0.00000
34	0.99783	0.00197	0.00011	0.00020	0.00000	0.00000	0.99527	0.00453	0.00007	0.00020	0.00000	0.00000
35	0.99752	0.00225	0.00015	0.00023	0.00000	0.00000	0.99547	0.00433	0.00005	0.00020	0.00000	0.00000
36	0.99754	0.00228	0.00010	0.00019	0.00000	0.00000	0.99542	0.00439	0.00012	0.00018	0.00000	0.00000
37	0.99722	0.00260	0.00010	0.00018	0.00000	0.00000	0.99537	0.00450	0.00009	0.00013	0.00000	0.00000
38	0.99750	0.00236	0.00008	0.00015	0.00000	0.00000	0.99505	0.00485	0.00007	0.00010	0.00000	0.00000
39	0.99763	0.00219	0.00006	0.00017	0.00000	0.00000	0.99492	0.00495	0.00005	0.00014	0.00000	0.00000
40	0.99761	0.00223	0.00008	0.00016	0.00000	0.00000	0.99529	0.00454	0.00010	0.00016	0.00000	0.00000
41	0.99744	0.00243	0.00005	0.00012	0.00000	0.00000	0.99472	0.00512	0.00010	0.00016	0.00000	0.00000
42	0.99782	0.00200	0.00010	0.00018	0.00000	0.00000	0.99472	0.00508	0.00012	0.00020	0.00000	0.00000
43	0.99791	0.00196	0.00008	0.00014	0.00000	0.00000	0.99376	0.00584	0.00008	0.00018	0.00022	0.00000
44	0.99775	0.00212	0.00007	0.00014	0.00000	0.00000	0.99455	0.00524	0.00009	0.00021	0.00000	0.00000
45	0.99781	0.00203	0.00007	0.00016	0.00000	0.00000	0.99450	0.00531	0.00007	0.00019	0.00000	0.00000
46	0.99762	0.00223	0.00007	0.00015	0.00000	0.00000	0.99418	0.00564	0.00005	0.00018	0.00000	0.00000
47	0.99749	0.00231	0.00008	0.00021	0.00000	0.00000	0.99308	0.00675	0.00010	0.00016	0.00001	0.00000
48	0.99781	0.00200	0.00005	0.00019	0.00000	0.00000	0.99422	0.00556	0.00008	0.00022	0.00000	0.00000
49	0.99731	0.00254	0.00006	0.00014	0.00000	0.00000	0.99451	0.00531	0.00008	0.00018	0.00000	0.00000
50	0.99765	0.00214	0.00007	0.00021	0.00000	0.00000	0.99429	0.00545	0.00003	0.00025	0.00000	0.00000
51	0.99766	0.00218	0.00010	0.00017	0.00000	0.00000	0.99420	0.00554	0.00007	0.00026	0.00000	0.00000
52	0.99738	0.00239	0.00009	0.00023	0.00001	0.00000	0.99410	0.00560	0.00010	0.00029	0.00000	0.00000
53	0.99748	0.00233	0.00005	0.00019	0.00000	0.00000	0.99336	0.00637	0.00008	0.00027	0.00000	0.00000
54	0.99739	0.00246	0.00012	0.00015	0.00000	0.00000	0.99401	0.00578	0.00014	0.00022	0.00000	0.00000
55	0.99773	0.00214	0.00005	0.00014	0.00000	0.00000	0.99343	0.00633	0.00012	0.00023	0.00000	0.00000
56	0.99732	0.00249	0.00008	0.00019	0.00000	0.00000	0.99334	0.00645	0.00008	0.00021	0.00000	0.00000
