#Mean	480.148
#Median	439
#Mode	366
#STDev	230.056
#PercentOfPairs	99.990
#InsertSize	Count
7	1
25	1
33	1
35	4
36	3
37	7
38	2
39	6
40	8
41	6
42	10
43	8
44	9
45	10
46	2
47	4
48	6
49	8
50	7
51	8
52	9
53	20
54	17
55	12
56	13
57	10
58	6
59	12
60	5
61	6
62	15
63	24
64	18
65	19
66	12
67	13
68	11
69	7
70	8
71	18
72	21
73	16
74	26
75	29
76	26
77	15
78	20
79	15
80	16
81	17
82	19
83	14
84	32
85	24
86	29
87	17
88	21
89	10
90	18
91	19
92	36
93	25
94	36
95	43
96	26
97	16
98	18
99	24
100	19
101	30
102	37
103	48
104	44
105	51
106	48
107	31
108	31
109	11
110	21
111	20
112	30
113	35
114	53
115	55
116	33
117	31
118	41
119	24
120	24
121	31
122	36
123	35
124	44
125	53
126	61
127	45
128	45
129	32
130	42
131	29
132	45
133	50
134	58
135	68
136	64
137	71
138	62
139	43
140	47
141	44
142	38
143	54
144	83
145	80
146	91
147	56
148	59
149	54
150	50
151	40
152	53
153	44
154	67
155	83
156	93
157	91
158	76
159	75
160	59
161	54
162	74
163	59
164	61
165	75
166	102
167	103
168	83
169	105
170	63
171	70
172	53
173	63
174	93
175	101
176	97
177	132
178	102
179	113
180	90
181	87
182	82
183	76
184	86
185	117
186	128
187	124
188	116
189	111
190	94
191	98
192	96
193	75
194	84
195	118
196	135
197	126
198	116
199	139
200	101
201	87
202	86
203	93
204	103
205	95
206	160
207	150
208	161
209	148
210	149
211	130
212	121
213	120
214	111
215	125
216	147
217	174
218	170
219	175
220	173
221	163
222	132
223	139
224	113
225	153
226	175
227	159
228	219
229	201
230	175
231	202
232	151
233	152
234	151
235	163
236	157
237	227
238	218
239	219
240	200
241	196
242	200
243	166
244	163
245	166
246	167
247	197
248	208
249	218
250	242
251	244
252	197
253	217
254	189
255	173
256	229
257	219
258	225
259	242
260	254
261	239
262	260
263	230
264	207
265	205
266	213
267	219
268	233
269	261
270	265
271	283
272	240
273	269
274	253
275	208
276	231
277	218
278	220
279	249
280	323
281	299
282	272
283	256
284	249
285	261
286	239
287	244
288	281
289	276
290	298
291	259
292	323
293	321
294	305
295	271
296	244
297	262
298	292
299	284
300	340
301	347
302	327
303	305
304	303
305	312
306	285
307	274
308	292
309	318
310	331
311	346
312	328
313	316
314	342
315	334
316	312
317	282
318	319
319	299
320	338
321	328
322	317
323	367
324	336
325	338
326	312
327	288
328	315
329	317
330	297
331	379
332	360
333	315
334	372
335	370
336	290
337	321
338	313
339	317
340	322
341	350
342	338
343	371
344	377
345	386
346	377
347	361
348	312
349	338
350	340
351	360
352	366
353	369
354	394
355	371
356	379
357	371
358	317
359	353
360	299
361	319
362	355
363	384
364	386
365	395
366	417
367	368
368	373
369	334
370	352
371	356
372	389
373	404
374	357
375	346
376	375
377	381
378	345
379	330
380	292
381	373
382	361
383	332
384	368
385	348
386	334
387	360
388	323
389	320
390	329
391	317
392	330
393	369
394	388
395	392
396	327
397	375
398	351
399	358
400	350
401	340
402	346
403	368
404	330
405	405
406	361
407	313
408	364
409	303
410	355
411	300
412	328
413	330
414	315
415	334
416	386
417	376
418	308
419	334
420	316
421	279
422	298
423	303
424	328
425	292
426	344
427	303
428	355
429	338
430	342
431	298
432	305
433	296
434	296
435	302
436	315
437	359
438	360
439	357
440	303
441	333
442	299
443	298
444	307
445	357
446	351
447	323
448	297
449	340
450	333
451	311
452	311
453	304
454	295
455	324
456	302
457	314
458	295
459	310
460	315
461	290
462	276
463	315
464	279
465	287
466	296
467	341
468	269
469	273
470	302
471	298
472	290
473	294
474	278
475	301
476	290
477	287
478	291
479	296
480	275
481	275
482	260
483	271
484	275
485	275
486	276
487	288
488	278
489	290
490	284
491	271
492	239
493	266
494	270
495	276
496	233
497	287
498	292
499	257
500	244
501	280
502	280
503	252
504	248
505	261
506	263
507	244
508	250
509	227
510	238
511	246
512	237
513	242
514	222
515	253
516	224
517	253
518	249
519	258
520	290
521	195
522	240
523	247
524	231
525	253
526	221
527	261
528	295
529	217
530	213
531	233
532	255
533	211
534	223
535	241
536	213
537	207
538	234
539	215
540	227
541	201
542	248
543	203
544	215
545	206
546	198
547	201
548	224
549	221
550	238
551	219
552	203
553	216
554	221
555	212
556	212
557	217
558	213
559	197
560	185
561	202
562	199
563	185
564	220
565	198
566	188
567	196
568	203
569	191
570	185
571	209
572	191
573	186
574	193
575	220
576	187
577	167
578	202
579	217
580	190
581	169
582	197
583	167
584	191
585	197
586	203
587	185
588	195
589	185
590	176
591	198
592	179
593	173
594	182
595	190
596	151
597	180
598	194
599	184
600	169
601	170
602	192
603	174
604	172
605	188
606	163
607	150
608	150
609	165
610	158
611	153
612	187
613	191
614	173
615	190
616	156
617	161
618	148
619	156
620	154
621	172
622	144
623	145
624	154
625	145
626	149
627	168
628	153
629	147
630	149
631	135
632	147
633	157
634	121
635	130
636	152
637	138
638	163
639	165
640	138
641	159
642	127
643	145
644	155
645	156
646	122
647	155
648	144
649	140
650	135
651	129
652	148
653	145
654	123
655	144
656	120
657	105
658	128
659	141
660	129
661	124
662	157
663	136
664	142
665	133
666	138
667	113
668	144
669	117
670	134
671	118
672	120
673	134
674	117
675	125
676	101
677	138
678	116
679	127
680	121
681	109
682	130
683	104
684	102
685	129
686	135
687	135
688	102
689	125
690	100
691	98
692	116
693	117
694	112
695	108
696	137
697	95
698	105
699	115
700	100
701	102
702	108
703	104
704	94
705	108
706	127
707	97
708	105
709	108
710	110
711	121
712	92
713	107
714	103
715	110
716	109
717	91
718	115
719	133
720	102
