#Mean	38.886
#Median	38
#Mode	37
#STDev	7.186
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	1
6	0
7	1
8	1
9	0
10	2
11	3
12	1
13	4
14	9
15	6
16	13
17	21
18	31
19	40
20	52
21	118
22	153
23	240
24	373
25	617
26	1054
27	1491
28	2081
29	2924
30	3597
31	4505
32	5360
33	5152
34	6280
35	6698
36	7083
37	7642
38	7592
39	7561
40	6923
41	6375
42	5658
43	4990
44	4326
45	3625
46	3230
47	2751
48	2434
49	2044
50	1548
51	1591
52	1464
53	1183
54	979
55	783
56	602
57	406
58	254
59	204
60	133
61	102
62	90
63	67
64	69
65	41
66	50
67	32
68	23
69	28
70	28
71	30
72	30
73	33
74	27
75	15
76	25
77	13
78	21
79	4
80	3
81	1
82	0
83	1
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
