#Deviation	2.2115	2.5050
#Avg_STDev	6.315
#Diversity	3.865
#Entropy	0.039
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.523	21.602	23.972	35.194	24.291	24.261
2	35.491	21.610	23.285	35.349	24.451	24.105
3	35.742	21.996	23.646	35.394	24.541	23.803
4	35.748	22.026	23.819	35.393	24.545	23.945
5	35.827	22.176	24.319	35.262	24.195	23.055
6	36.021	22.450	24.930	35.529	25.007	24.349
7	35.973	22.382	24.897	35.443	24.696	24.026
8	35.958	22.370	25.042	35.339	24.437	23.734
9	36.008	22.436	25.146	35.480	24.790	23.891
10	35.910	22.333	25.229	35.268	24.238	23.675
11	36.051	22.490	25.065	35.513	24.897	24.509
12	35.960	22.402	27.349	35.298	24.323	23.922
13	36.036	22.498	25.575	35.448	24.729	24.359
14	35.991	22.435	27.049	35.343	24.464	23.227
15	35.959	22.387	25.562	35.325	24.375	23.667
16	35.943	22.399	27.272	35.270	24.237	23.374
17	35.917	22.358	24.963	35.251	24.233	23.397
18	35.947	22.429	25.924	35.189	24.066	22.975
19	35.951	22.410	27.234	35.249	24.225	23.374
20	35.959	22.414	26.450	35.257	24.216	23.567
21	35.949	22.394	27.427	35.239	24.185	23.700
22	35.923	22.358	25.374	35.194	24.090	23.397
23	35.905	22.347	24.609	35.171	24.032	23.273
24	35.900	22.346	25.065	35.187	24.092	23.296
25	35.862	22.247	24.557	35.167	24.052	23.026
26	35.824	22.189	23.609	35.140	23.910	23.292
27	35.805	22.160	25.386	35.102	23.860	22.897
28	35.772	21.835	23.524	35.135	23.913	22.883
29	35.780	22.031	25.706	35.075	23.792	22.983
30	35.758	22.063	23.914	35.086	23.818	22.462
31	35.761	22.071	24.140	35.049	23.772	22.664
32	35.742	22.052	24.021	35.018	23.716	22.506
33	35.718	22.032	26.052	34.969	23.596	22.481
34	35.752	22.074	25.614	34.969	23.544	22.101
35	35.706	21.816	24.930	34.964	23.573	21.928
36	35.935	26.693	25.325	34.950	23.736	22.130
37	35.916	26.830	25.952	34.915	23.625	22.207
38	35.898	26.699	25.460	34.884	23.614	22.274
