#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.99594	0.00385	0.00000	0.00000	0.00021	0.00000	0.99617	0.00349	0.00000	0.00000	0.00034	0.00000
2	0.99527	0.00459	0.00000	0.00000	0.00014	0.00000	0.99611	0.00387	0.00000	0.00000	0.00002	0.00000
3	0.99567	0.00425	0.00000	0.00002	0.00006	0.00000	0.99583	0.00416	0.00000	0.00001	0.00000	0.00000
4	0.99585	0.00412	0.00000	0.00003	0.00000	0.00000	0.99597	0.00401	0.00000	0.00002	0.00001	0.00000
5	0.99630	0.00366	0.00000	0.00004	0.00000	0.00000	0.99507	0.00489	0.00002	0.00003	0.00001	0.00000
6	0.99681	0.00312	0.00002	0.00006	0.00001	0.00000	0.99633	0.00364	0.00000	0.00003	0.00000	0.00000
7	0.99679	0.00313	0.00003	0.00007	0.00000	0.00000	0.99605	0.00389	0.00001	0.00005	0.00001	0.00000
8	0.99688	0.00303	0.00001	0.00009	0.00000	0.00000	0.99581	0.00407	0.00004	0.00012	0.00000	0.00000
9	0.99702	0.00284	0.00007	0.00015	0.00000	0.00000	0.99593	0.00393	0.00001	0.00014	0.00000	0.00000
10	0.99702	0.00288	0.00002	0.00011	0.00000	0.00000	0.99577	0.00410	0.00006	0.00013	0.00000	0.00000
11	0.99697	0.00291	0.00008	0.00012	0.00000	0.00000	0.99648	0.00339	0.00002	0.00012	0.00001	0.00000
12	0.99818	0.00168	0.00002	0.00013	0.00000	0.00000	0.99598	0.00390	0.00003	0.00010	0.00002	0.00000
13	0.99728	0.00258	0.00005	0.00014	0.00000	0.00000	0.99636	0.00352	0.00002	0.00012	0.00000	0.00000
14	0.99808	0.00174	0.00006	0.00017	0.00000	0.00000	0.99528	0.00458	0.00003	0.00014	0.00000	0.00000
15	0.99727	0.00253	0.00005	0.00020	0.00000	0.00000	0.99571	0.00417	0.00001	0.00012	0.00000	0.00000
16	0.99818	0.00160	0.00005	0.00022	0.00000	0.00000	0.99543	0.00445	0.00003	0.00012	0.00000	0.00000
17	0.99685	0.00292	0.00004	0.00023	0.00000	0.00000	0.99545	0.00438	0.00002	0.00017	0.00000	0.00000
18	0.99751	0.00237	0.00007	0.00012	0.00000	0.00000	0.99504	0.00486	0.00008	0.00010	0.00000	0.00000
19	0.99814	0.00174	0.00003	0.00012	0.00000	0.00000	0.99542	0.00447	0.00002	0.00011	0.00000	0.00000
20	0.99774	0.00212	0.00001	0.00012	0.00002	0.00000	0.99565	0.00427	0.00005	0.00008	0.00000	0.00000
21	0.99820	0.00168	0.00001	0.00012	0.00000	0.00000	0.99576	0.00416	0.00002	0.00008	0.00000	0.00000
22	0.99713	0.00266	0.00003	0.00021	0.00000	0.00000	0.99548	0.00446	0.00005	0.00007	0.00000	0.00000
23	0.99656	0.00328	0.00002	0.00016	0.00000	0.00000	0.99536	0.00458	0.00007	0.00006	0.00000	0.00000
24	0.99692	0.00293	0.00003	0.00016	0.00000	0.00000	0.99535	0.00457	0.00003	0.00008	0.00000	0.00000
25	0.99655	0.00336	0.00005	0.00009	0.00000	0.00000	0.99509	0.00477	0.00007	0.00014	0.00000	0.00000
26	0.99576	0.00404	0.00012	0.00020	0.00001	0.00000	0.99534	0.00450	0.00003	0.00014	0.00002	0.00000
27	0.99719	0.00261	0.00008	0.00021	0.00000	0.00000	0.99491	0.00497	0.00004	0.00012	0.00000	0.00000
28	0.99546	0.00376	0.00004	0.00022	0.00055	0.00000	0.99489	0.00494	0.00004	0.00017	0.00000	0.00000
29	0.99734	0.00234	0.00007	0.00016	0.00016	0.00000	0.99503	0.00485	0.00006	0.00012	0.00000	0.00000
30	0.99601	0.00383	0.00007	0.00015	0.00001	0.00000	0.99442	0.00542	0.00009	0.00015	0.00001	0.00000
31	0.99619	0.00369	0.00005	0.00012	0.00000	0.00000	0.99463	0.00522	0.00004	0.00016	0.00000	0.00000
32	0.99610	0.00379	0.00007	0.00011	0.00000	0.00000	0.99443	0.00538	0.00005	0.00018	0.00000	0.00000
33	0.99763	0.00224	0.00012	0.00012	0.00000	0.00000	0.99442	0.00548	0.00007	0.00010	0.00000	0.00000
34	0.99732	0.00251	0.00007	0.00017	0.00000	0.00000	0.99393	0.00596	0.00009	0.00012	0.00000	0.00000
35	0.99678	0.00259	0.00010	0.00021	0.00043	0.00000	0.99368	0.00611	0.00009	0.00021	0.00001	0.00000
36	0.99708	0.00260	0.00005	0.00019	0.00013	0.00000	0.99396	0.00592	0.00008	0.00012	0.00000	0.00000
37	0.99750	0.00236	0.00004	0.00014	0.00000	0.00000	0.99404	0.00582	0.00006	0.00014	0.00000	0.00000
38	0.99721	0.00258	0.00006	0.00021	0.00000	0.00000	0.99411	0.00577	0.00003	0.00012	0.00000	0.00000
39	0.99732	0.00249	0.00005	0.00019	0.00000	0.00000	0.99393	0.00595	0.00007	0.00012	0.00000	0.00000
40	0.99724	0.00259	0.00005	0.00017	0.00000	0.00000	0.99337	0.00647	0.00006	0.00016	0.00000	0.00000
41	0.99720	0.00262	0.00012	0.00017	0.00000	0.00000	0.99336	0.00647	0.00002	0.00017	0.00000	0.00000
42	0.99730	0.00251	0.00010	0.00019	0.00001	0.00000	0.99405	0.00575	0.00009	0.00020	0.00000	0.00000
43	0.99758	0.00228	0.00002	0.00014	0.00000	0.00000	0.99408	0.00580	0.00007	0.00012	0.00000	0.00000
44	0.99764	0.00224	0.00007	0.00012	0.00000	0.00000	0.99342	0.00642	0.00008	0.00017	0.00000	0.00000
45	0.99673	0.00240	0.00003	0.00018	0.00069	0.00000	0.99370	0.00612	0.00008	0.00018	0.00000	0.00000
46	0.99705	0.00261	0.00013	0.00016	0.00018	0.00000	0.99317	0.00669	0.00011	0.00014	0.00000	0.00000
47	0.99734	0.00252	0.00007	0.00014	0.00000	0.00000	0.99296	0.00691	0.00003	0.00011	0.00002	0.00000
48	0.99729	0.00252	0.00004	0.00018	0.00001	0.00000	0.99250	0.00739	0.00007	0.00011	0.00000	0.00000
49	0.99715	0.00268	0.00011	0.00017	0.00000	0.00000	0.99309	0.00679	0.00008	0.00012	0.00001	0.00000
50	0.99720	0.00262	0.00010	0.00018	0.00000	0.00000	0.99310	0.00680	0.00012	0.00010	0.00000	0.00000
51	0.99719	0.00262	0.00006	0.00020	0.00000	0.00000	0.99287	0.00704	0.00005	0.00008	0.00000	0.00000
52	0.99732	0.00252	0.00009	0.00016	0.00000	0.00000	0.99277	0.00709	0.00013	0.00014	0.00000	0.00000
53	0.99717	0.00267	0.00006	0.00016	0.00000	0.00000	0.99203	0.00782	0.00007	0.00015	0.00000	0.00000
54	0.99712	0.00269	0.00011	0.00016	0.00002	0.00000	0.99245	0.00740	0.00012	0.00015	0.00000	0.00000
55	0.99720	0.00263	0.00012	0.00016	0.00000	0.00000	0.99218	0.00766	0.00008	0.00017	0.00000	0.00000
56	0.99719	0.00261	0.00007	0.00020	0.00000	0.00000	0.99235	0.00751	0.00008	0.00014	0.00000	0.00000
57	0.99694	0.00286	0.00012	0.00021	0.00000	0.00000	0.99185	0.00790	0.00008	0.00025	0.00000	0.00000
58	0.99678	0.00295	0.00007	0.00026	0.00000	0.00000	0.99212	0.00770	0.00008	0.00018	0.00000	0.00000
59	0.99675	0.00309	0.00012	0.00016	0.00000	0.00000	0.99199	0.00785	0.00006	0.00016	0.00000	0.00000
60	0.99669	0.00310	0.00015	0.00021	0.00000	0.00000	0.99172	0.00812	0.00012	0.00017	0.00000	0.00000
61	0.99673	0.00306	0.00012	0.00021	0.00000	0.00000	0.99178	0.00808	0.00011	0.00014	0.00000	0.00000
62	0.99662	0.00316	0.00012	0.00022	0.00000	0.00000	0.99139	0.00849	0.00012	0.00013	0.00000	0.00000
63	0.99674	0.00305	0.00011	0.00021	0.00000	0.00000	0.99108	0.00871	0.00013	0.00021	0.00000	0.00000
64	0.99652	0.00326	0.00007	0.00022	0.00000	0.00000	0.99165	0.00813	0.00012	0.00023	0.00000	0.00000
65	0.99669	0.00305	0.00008	0.00026	0.00000	0.00000	0.99142	0.00835	0.00007	0.00023	0.00000	0.00000
66	0.99662	0.00315	0.00012	0.00024	0.00000	0.00000	0.99162	0.00820	0.00013	0.00018	0.00000	0.00000
67	0.99642	0.00337	0.00014	0.00021	0.00000	0.00000	0.99075	0.00897	0.00008	0.00028	0.00000	0.00000
68	0.99656	0.00327	0.00007	0.00017	0.00000	0.00000	0.99082	0.00895	0.00010	0.00023	0.00000	0.00000
69	0.99648	0.00334	0.00015	0.00017	0.00000	0.00000	0.99051	0.00922	0.00012	0.00028	0.00000	0.00000
70	0.99624	0.00353	0.00007	0.00022	0.00000	0.00000	0.99001	0.00973	0.00011	0.00027	0.00000	0.00000
71	0.99633	0.00342	0.00013	0.00025	0.00000	0.00000	0.99098	0.00881	0.00006	0.00021	0.00000	0.00000
72	0.99610	0.00367	0.00007	0.00023	0.00000	0.00000	0.99003	0.00979	0.00006	0.00018	0.00000	0.00000
73	0.99636	0.00350	0.00004	0.00014	0.00000	0.00000	0.98976	0.01001	0.00011	0.00023	0.00000	0.00000
74	0.99553	0.00368	0.00002	0.00018	0.00062	0.00000	0.98984	0.00996	0.00007	0.00020	0.00000	0.00000
75	0.99568	0.00406	0.00011	0.00026	0.00000	0.00000	0.98995	0.00980	0.00012	0.00025	0.00000	0.00000
76	0.99605	0.00372	0.00008	0.00023	0.00000	0.00000	0.98926	0.01045	0.00004	0.00028	0.00001	0.00000
77	0.99567	0.00414	0.00010	0.00019	0.00000	0.00000	0.98954	0.01018	0.00017	0.00028	0.00000	0.00000
78	0.99569	0.00408	0.00007	0.00023	0.00000	0.00000	0.98953	0.01029	0.00005	0.00018	0.00000	0.00000
79	0.99584	0.00398	0.00009	0.00018	0.00000	0.00000	0.98979	0.01003	0.00008	0.00018	0.00000	0.00000
80	0.99560	0.00420	0.00007	0.00020	0.00000	0.00000	0.98918	0.01067	0.00013	0.00015	0.00000	0.00000
81	0.99576	0.00403	0.00005	0.00021	0.00000	0.00000	0.98940	0.01044	0.00013	0.00016	0.00000	0.00000
82	0.99597	0.00381	0.00006	0.00022	0.00000	0.00000	0.98905	0.01078	0.00011	0.00018	0.00000	0.00000
83	0.99529	0.00442	0.00007	0.00029	0.00000	0.00000	0.98913	0.01070	0.00011	0.00018	0.00000	0.00000
84	0.99517	0.00458	0.00006	0.00026	0.00000	0.00000	0.98856	0.01124	0.00012	0.00020	0.00000	0.00000
85	0.99541	0.00437	0.00011	0.00021	0.00000	0.00000	0.98899	0.01081	0.00008	0.00020	0.00000	0.00000
86	0.99548	0.00429	0.00009	0.00023	0.00000	0.00000	0.98857	0.01118	0.00008	0.00024	0.00001	0.00000
87	0.99509	0.00464	0.00007	0.00027	0.00000	0.00000	0.98852	0.01127	0.00008	0.00020	0.00000	0.00000
88	0.99508	0.00469	0.00007	0.00023	0.00000	0.00000	0.98810	0.01170	0.00003	0.00020	0.00000	0.00000
89	0.99544	0.00422	0.00002	0.00034	0.00000	0.00000	0.98790	0.01190	0.00006	0.00020	0.00000	0.00000
90	0.99484	0.00486	0.00005	0.00030	0.00001	0.00000	0.98712	0.01272	0.00008	0.00016	0.00000	0.00000
91	0.99456	0.00518	0.00004	0.00026	0.00000	0.00000	0.98751	0.01230	0.00014	0.00019	0.00000	0.00000
92	0.99489	0.00499	0.00004	0.00012	0.00000	0.00000	0.98728	0.01254	0.00003	0.00018	0.00001	0.00000
93	0.99452	0.00534	0.00006	0.00014	0.00000	0.00000	0.98698	0.01282	0.00012	0.00020	0.00000	0.00000
94	0.99415	0.00573	0.00007	0.00012	0.00000	0.00000	0.98638	0.01339	0.00006	0.00023	0.00000	0.00000
95	0.99476	0.00512	0.00007	0.00012	0.00000	0.00000	0.98665	0.01309	0.00008	0.00026	0.00000	0.00000
96	0.99438	0.00549	0.00007	0.00013	0.00000	0.00000	0.98555	0.01419	0.00010	0.00026	0.00000	0.00000
97	0.99476	0.00508	0.00006	0.00017	0.00000	0.00000	0.98519	0.01451	0.00003	0.00029	0.00000	0.00000
98	0.99438	0.00544	0.00005	0.00017	0.00000	0.00000	0.98600	0.01374	0.00008	0.00026	0.00001	0.00000
99	0.99433	0.00547	0.00007	0.00021	0.00000	0.00000	0.98617	0.01359	0.00010	0.00023	0.00000	0.00000
100	0.99455	0.00522	0.00008	0.00023	0.00000	0.00000	0.98521	0.01453	0.00007	0.00025	0.00001	0.00000
101	0.99430	0.00546	0.00007	0.00024	0.00000	0.00000	0.98558	0.01413	0.00004	0.00029	0.00000	0.00000
102	0.99413	0.00558	0.00003	0.00029	0.00000	0.00000	0.98514	0.01457	0.00003	0.00029	0.00000	0.00000
103	0.99387	0.00575	0.00006	0.00038	0.00000	0.00000	0.98477	0.01494	0.00008	0.00029	0.00000	0.00000
104	0.99395	0.00568	0.00004	0.00037	0.00000	0.00000	0.98460	0.01512	0.00009	0.00027	0.00001	0.00000
105	0.99366	0.00586	0.00007	0.00042	0.00006	0.00000	0.98451	0.01517	0.00009	0.00032	0.00000	0.00000
106	0.99332	0.00633	0.00009	0.00036	0.00000	0.00000	0.98411	0.01559	0.00009	0.00029	0.00000	0.00000
107	0.99317	0.00645	0.00008	0.00037	0.00000	0.00000	0.98448	0.01519	0.00006	0.00033	0.00000	0.00000
108	0.99285	0.00677	0.00004	0.00038	0.00000	0.00000	0.98432	0.01539	0.00003	0.00029	0.00000	0.00000
109	0.99269	0.00698	0.00004	0.00033	0.00000	0.00000	0.98388	0.01579	0.00007	0.00033	0.00000	0.00000
110	0.99306	0.00664	0.00007	0.00030	0.00000	0.00000	0.98323	0.01640	0.00008	0.00036	0.00000	0.00000
111	0.99263	0.00710	0.00012	0.00027	0.00000	0.00000	0.98355	0.01609	0.00007	0.00036	0.00000	0.00000
112	0.99267	0.00698	0.00007	0.00035	0.00000	0.00000	0.98313	0.01650	0.00010	0.00037	0.00000	0.00000
113	0.99258	0.00711	0.00005	0.00031	0.00000	0.00000	0.98344	0.01621	0.00008	0.00034	0.00001	0.00000
114	0.99302	0.00671	0.00004	0.00027	0.00000	0.00000	0.98214	0.01741	0.00003	0.00045	0.00000	0.00000
115	0.99287	0.00682	0.00015	0.00031	0.00000	0.00000	0.98135	0.01828	0.00010	0.00037	0.00000	0.00000
116	0.99213	0.00754	0.00008	0.00032	0.00000	0.00000	0.98148	0.01812	0.00005	0.00039	0.00001	0.00000
117	0.99262	0.00707	0.00009	0.00031	0.00000	0.00000	0.98069	0.01895	0.00007	0.00036	0.00000	0.00000
118	0.99211	0.00760	0.00009	0.00029	0.00000	0.00000	0.98092	0.01874	0.00008	0.00034	0.00000	0.00000
119	0.99197	0.00773	0.00005	0.00030	0.00000	0.00000	0.98153	0.01810	0.00002	0.00037	0.00000	0.00000
120	0.99205	0.00768	0.00012	0.00027	0.00000	0.00000	0.98104	0.01859	0.00010	0.00037	0.00000	0.00000
121	0.99203	0.00761	0.00006	0.00036	0.00000	0.00000	0.98012	0.01945	0.00010	0.00044	0.00000	0.00000
122	0.99180	0.00789	0.00009	0.00031	0.00000	0.00000	0.98054	0.01900	0.00008	0.00046	0.00000	0.00000
123	0.99144	0.00831	0.00004	0.00025	0.00000	0.00000	0.98005	0.01955	0.00008	0.00040	0.00000	0.00000
124	0.99084	0.00886	0.00008	0.00030	0.00000	0.00000	0.98002	0.01953	0.00013	0.00046	0.00000	0.00000
125	0.99120	0.00849	0.00008	0.00030	0.00001	0.00000	0.97972	0.01986	0.00007	0.00041	0.00000	0.00000
126	0.99155	0.00813	0.00012	0.00032	0.00000	0.00000	0.97943	0.02011	0.00008	0.00046	0.00000	0.00000
127	0.99169	0.00795	0.00009	0.00037	0.00000	0.00000	0.97737	0.02214	0.00008	0.00049	0.00000	0.00000
128	0.99028	0.00937	0.00010	0.00034	0.00000	0.00000	0.97737	0.02213	0.00004	0.00051	0.00000	0.00000
129	0.99020	0.00940	0.00007	0.00040	0.00000	0.00000	0.97674	0.02273	0.00006	0.00053	0.00000	0.00000
130	0.99041	0.00929	0.00009	0.00029	0.00002	0.00000	0.97705	0.02249	0.00005	0.00046	0.00000	0.00000
131	0.99005	0.00964	0.00006	0.00031	0.00001	0.00000	0.97673	0.02279	0.00014	0.00048	0.00000	0.00000
132	0.99002	0.00965	0.00008	0.00033	0.00000	0.00000	0.97697	0.02258	0.00015	0.00045	0.00000	0.00000
133	0.98968	0.00996	0.00010	0.00036	0.00000	0.00000	0.97710	0.02243	0.00010	0.00047	0.00000	0.00000
134	0.99072	0.00891	0.00004	0.00037	0.00000	0.00000	0.97684	0.02265	0.00014	0.00051	0.00000	0.00000
135	0.98966	0.01002	0.00008	0.00033	0.00000	0.00000	0.97657	0.02300	0.00010	0.00042	0.00000	0.00000
136	0.98959	0.01011	0.00008	0.00030	0.00000	0.00000	0.97524	0.02429	0.00005	0.00047	0.00000	0.00000
137	0.98895	0.01076	0.00003	0.00029	0.00000	0.00000	0.97581	0.02379	0.00006	0.00040	0.00000	0.00000
138	0.98889	0.01083	0.00006	0.00028	0.00000	0.00000	0.97486	0.02474	0.00008	0.00041	0.00000	0.00000
139	0.98825	0.01147	0.00006	0.00028	0.00000	0.00000	0.97431	0.02527	0.00003	0.00042	0.00000	0.00000
140	0.98884	0.01088	0.00009	0.00028	0.00000	0.00000	0.97287	0.02674	0.00013	0.00039	0.00000	0.00000
141	0.98828	0.01140	0.00004	0.00033	0.00000	0.00000	0.97294	0.02671	0.00008	0.00034	0.00001	0.00000
142	0.98827	0.01144	0.00002	0.00028	0.00000	0.00000	0.97246	0.02723	0.00011	0.00031	0.00000	0.00000
143	0.98779	0.01194	0.00011	0.00027	0.00000	0.00000	0.97128	0.02841	0.00011	0.00031	0.00000	0.00000
144	0.98744	0.01237	0.00006	0.00019	0.00000	0.00000	0.97152	0.02821	0.00011	0.00027	0.00000	0.00000
145	0.98668	0.01311	0.00006	0.00021	0.00000	0.00000	0.97082	0.02889	0.00011	0.00029	0.00000	0.00000
146	0.98737	0.01246	0.00008	0.00017	0.00000	0.00000	0.97184	0.02791	0.00012	0.00025	0.00000	0.00000
147	0.98760	0.01228	0.00005	0.00012	0.00000	0.00000	0.97085	0.02894	0.00006	0.00020	0.00000	0.00000
148	0.98704	0.01292	0.00003	0.00004	0.00000	0.00000	0.96914	0.03076	0.00004	0.00009	0.00000	0.00000
149	0.98606	0.01394	0.00000	0.00000	0.00000	0.00000	0.97010	0.02988	0.00003	0.00002	0.00000	0.00000
150	0.98459	0.01541	0.00000	0.00000	0.00000	0.00000	0.97108	0.02891	0.00000	0.00000	0.00000	0.00001
151	0.97679	0.02321	0.00000	0.00000	0.00000	0.00000	0.94592	0.05405	0.00000	0.00000	0.00000	0.00003
