#Mean	482.676
#Median	454
#Mode	424
#STDev	198.989
#PercentOfPairs	99.991
#InsertSize	Count
32	3
35	8
36	2
37	2
38	2
39	3
40	2
41	5
42	4
43	7
44	13
45	10
46	7
47	6
48	1
49	2
50	8
51	5
52	11
53	7
54	20
55	6
56	8
57	9
58	1
59	6
60	2
61	8
62	13
63	4
64	15
65	8
66	13
67	9
68	8
69	4
70	10
71	23
72	17
73	17
74	28
75	13
76	13
77	15
78	8
79	6
80	5
81	13
82	18
83	26
84	21
85	33
86	20
87	11
88	11
89	17
90	13
91	21
92	17
93	32
94	26
95	30
96	27
97	20
98	7
99	11
100	14
101	10
102	24
103	30
104	28
105	29
106	39
107	15
108	21
109	10
110	13
111	17
112	33
113	36
114	40
115	34
116	37
117	16
118	20
119	26
120	28
121	29
122	20
123	35
124	51
125	38
126	49
127	46
128	30
129	25
130	20
131	27
132	35
133	46
134	48
135	56
136	52
137	41
138	32
139	24
140	34
141	37
142	40
143	41
144	47
145	52
146	60
147	48
148	48
149	32
150	45
151	28
152	38
153	37
154	59
155	67
156	61
157	57
158	60
159	31
160	28
161	38
162	41
163	45
164	53
165	73
166	75
167	65
168	62
169	82
170	47
171	37
172	51
173	55
174	59
175	68
176	94
177	85
178	75
179	56
180	60
181	53
182	58
183	51
184	61
185	75
186	99
187	82
188	79
189	85
190	67
191	55
192	62
193	55
194	66
195	73
196	77
197	87
198	91
199	89
200	73
201	61
202	65
203	69
204	82
205	71
206	120
207	104
208	103
209	110
210	96
211	104
212	73
213	62
214	67
215	94
216	100
217	94
218	114
219	119
220	107
221	100
222	105
223	74
224	91
225	81
226	95
227	129
228	113
229	148
230	124
231	125
232	95
233	97
234	91
235	102
236	101
237	122
238	155
239	147
240	121
241	146
242	115
243	126
244	108
245	90
246	113
247	127
248	126
249	150
250	146
251	143
252	138
253	147
254	154
255	111
256	106
257	129
258	159
259	156
260	190
261	171
262	172
263	174
264	131
265	127
266	142
267	152
268	167
269	200
270	201
271	187
272	161
273	178
274	171
275	141
276	176
277	159
278	171
279	193
280	188
281	217
282	183
283	180
284	159
285	169
286	176
287	189
288	178
289	189
290	233
291	202
292	194
293	185
294	178
295	172
296	186
297	195
298	201
299	191
300	206
301	197
302	241
303	236
304	197
305	194
306	175
307	210
308	197
309	213
310	221
311	234
312	243
313	213
314	233
315	234
316	183
317	201
318	212
319	222
320	237
321	208
322	239
323	240
324	221
325	214
326	211
327	215
328	211
329	219
330	241
331	232
332	293
333	230
334	216
335	245
336	244
337	214
338	209
339	241
340	247
341	259
342	302
343	281
344	264
345	276
346	258
347	252
348	243
349	251
350	249
351	264
352	239
353	330
354	255
355	283
356	286
357	210
358	292
359	224
360	278
361	262
362	285
363	266
364	284
365	307
366	244
367	255
368	220
369	245
370	252
371	275
372	263
373	269
374	317
375	302
376	288
377	318
378	262
379	264
380	240
381	277
382	247
383	273
384	299
385	284
386	273
387	293
388	280
389	270
390	231
391	282
392	315
393	270
394	279
395	259
396	276
397	303
398	313
399	260
400	279
401	253
402	295
403	308
404	258
405	262
406	281
407	324
408	258
409	275
410	254
411	265
412	258
413	324
414	279
415	257
416	294
417	279
418	271
419	263
420	279
421	285
422	274
423	235
424	331
425	285
426	264
427	268
428	322
429	285
430	276
431	286
432	239
433	259
434	268
435	252
436	275
437	283
438	287
439	269
440	280
441	274
442	243
443	263
444	257
445	287
446	287
447	328
448	311
449	261
450	297
451	259
452	247
453	216
454	249
455	279
456	260
457	298
458	284
459	272
460	268
461	260
462	276
463	248
464	258
465	236
466	284
467	290
