Allele	#Allelic-Variants	#Allelic-Called	All-Allelic-Called	Total-Called	Error_Called	 Mean-Allelic-Quality	Mean-Error-Quality	Min-Allelic-Quality	Max-Error-Quality
1	1	1	YES	4007	4006	 265.03	68.4	265.03	1282.64
1	1	1	YES	4021	4020	 604.06	73.34	604.06	3377.06
2	3	3	YES	3955	3952	 513.39	68.37	440.06	498.64
2	3	3	YES	3956	3953	 670.73	66.72	413.06	1461.64
3	2	2	YES	3906	3904	 471.06	67.94	451.06	2112.6
3	2	2	YES	4009	4007	 566.06	68.34	465.06	1531.06
4	2	2	YES	3926	3924	 709.56	70.4	707.06	3615.64
4	2	2	YES	3968	3966	 654.06	70.82	619.06	1003.6
5	2	2	YES	4003	4001	 696.56	68.01	656.06	1317.64
5	2	2	YES	4057	4055	 654.06	69.01	619.06	2472.6
6	2	2	YES	3881	3879	 576.06	67.29	497.06	2708.6
6	2	2	YES	3939	3937	 730.06	69.17	706.06	1422.6
7	2	2	YES	3924	3922	 534.06	71.63	496.06	3047.03
7	2	2	YES	3984	3982	 688.06	68.38	619.06	1359.64
8	2	2	YES	3965	3963	 1003.56	70.3	937.06	3586.03
8	2	2	YES	3990	3988	 550.06	68.52	535.06	1959.6
9	2	2	YES	3939	3937	 523.06	69.03	413.06	478.64
9	2	2	YES	4011	4009	 537.06	68.7	497.06	2286.6
10	2	2	YES	3761	3759	 849.06	69.27	841.06	2936.06
10	2	2	YES	4115	4113	 663.56	68.19	551.06	2794.6
11	2	2	YES	3955	3953	 554.55	67.49	363.05	669.64
11	2	2	YES	4093	4091	 578.06	70.4	542.06	1770.06
12	2	2	YES	3882	3880	 432.04	69.16	282.02	3030.03
12	2	2	YES	3905	3903	 617.56	67.65	404.06	556.64
13	2	2	YES	4000	3998	 883.06	68.71	799.06	2448.03
13	2	2	YES	4037	4035	 479.55	69.53	347.05	2727.03
14	2	2	YES	3960	3958	 474.06	69.76	448.06	3476.03
14	2	2	YES	3991	3989	 642.06	68.77	542.06	2568.06
15	2	2	YES	3900	3898	 691.06	68.73	570.06	2791.03
15	2	2	YES	3915	3913	 647.06	68.86	608.06	1257.6
16	1	1	YES	3876	3875	 458.06	67.78	458.06	966.64
16	1	1	YES	3971	3970	 828.06	67.96	828.06	1100.64
17	2	2	YES	3882	3880	 762.56	68.88	554.06	452.64
17	2	2	YES	3978	3976	 573.06	66.6	539.06	1303.64
18	2	2	YES	3913	3911	 568.06	67.84	565.06	591.64
18	2	2	YES	3924	3922	 472.06	67.48	472.06	561.64
19	2	2	YES	3829	3827	 480.06	70.46	436.06	3240.06
19	2	2	YES	3851	3849	 360.05	67.13	320.04	1447.64
22	2	2	YES	3806	3804	 651.06	68.99	542.06	1392.64
22	2	2	YES	4081	4079	 652.56	69.72	645.06	3227.03
23	2	2	YES	4030	4028	 708.06	67.18	546.06	601.64
23	2	2	YES	4118	4116	 693.06	69.5	542.06	2585.03
24	2	2	YES	3919	3917	 418.56	67.4	400.06	1042.64
24	2	2	YES	4120	4118	 653.56	69.06	637.06	1288.64
25	2	2	YES	3859	3857	 658.06	67.87	584.06	1259.6
25	2	2	YES	4008	4006	 574.05	68.76	355.05	2948.06
26	2	2	YES	3949	3947	 525.06	71.06	511.06	2744.03
26	2	2	YES	3995	3993	 694.56	68.69	618.06	2359.06
28	3	3	YES	3973	3970	 659.39	68.72	437.06	1492.64
28	3	3	YES	4017	4014	 603.72	68.98	303.04	3062.03
29	2	2	YES	3935	3933	 671.06	67.92	662.06	1217.64
29	2	2	YES	4081	4079	 696.06	68.39	664.06	457.64
30	1	1	YES	3990	3989	 644.06	71.13	644.06	547.64
30	1	1	YES	3993	3992	 913.06	67.9	913.06	1234.64
31	2	2	YES	3936	3934	 498.06	69.71	461.06	1073.64
31	2	2	YES	4082	4080	 706.56	66.86	677.06	485.64
32	2	2	YES	3905	3903	 629.06	66.63	608.06	1414.64
32	2	2	YES	4009	4007	 410.56	67.44	404.06	663.6
33	2	2	YES	3830	3828	 620.56	71.1	407.06	2738.6
33	2	2	YES	3921	3919	 582.05	69.08	363.05	3329.06
34	2	2	YES	3883	3881	 526.06	68.69	526.06	3095.98
34	2	2	YES	3970	3968	 481.06	71.53	481.06	3167.03
35	2	2	YES	3829	3827	 747.06	66.73	701.06	531.64
35	2	2	YES	4053	4051	 447.55	71.08	360.05	2612.6
39	3	3	YES	3780	3777	 543.72	72.36	331.05	3410.64
39	3	3	YES	3969	3966	 546.39	67.44	395.06	1115.64
