ALLELE	#ALLELIC_VARIANTS	#ALLELIC_CALLED	ALL_ALLELIC_CALLED	TOTAL_CALLED	ERROR_CALLED	 ERRORS_CALLED_CONF	ERRORS_CALLED_ALL	MEAN_QUAL_ALLELIC	MEAN_QUAL_ERRORS	MIN_QUAL_ALLELIC	 MAX_QUAL_ERRORS	MEAN_DEPTH
2	1	1	YES	264	259	 98.5%	99.2%	570.06	60.39	 570.06	218.64	10.6
3	1	1	YES	313	307	 98.4%	99.4%	400.06	59.58	 400.06	188.64	10.8
4	1	1	YES	256	253	 99.2%	99.6%	323.04	64.13	 323.04	271.64	11.1
5	1	1	YES	274	270	 98.9%	100.0%	619.06	60.2	 619.06	254.64	10.7
6	1	1	YES	293	289	 99.0%	99.7%	642.03	63.49	 642.03	235.64	11.3
7	1	1	YES	270	266	 98.9%	99.3%	323.04	58.23	 323.04	249.64	11.1
8	1	1	YES	286	283	 99.3%	99.6%	703.06	57.71	 703.06	237.64	11.3
9	1	1	YES	248	247	 100.0%	100.0%	365.05	56.45	 365.05	189.64	10.5
10	1	1	YES	296	290	 98.3%	99.3%	721.06	59.21	 721.06	303.64	10.5
11	1	1	YES	255	252	 99.2%	100.0%	691.06	60.8	 691.06	243.64	10.2
12	1	1	YES	281	278	 99.3%	100.0%	363.05	62.39	 363.05	245.97	11.2
13	1	1	YES	261	258	 99.2%	99.6%	288.04	59.6	 288.04	328.64	10.6
14	1	1	YES	268	262	 98.1%	99.6%	529.06	60.88	 529.06	290.64	10.9
15	1	1	YES	252	246	 98.0%	98.4%	869.06	63.43	 869.06	276.64	11.1
16	1	1	YES	271	267	 98.9%	100.0%	577.06	58.43	 577.06	223.64	11.1
17	1	1	YES	248	244	 98.8%	100.0%	298.04	59.6	 298.04	300.64	11.8
18	2	2	YES	246	241	 98.8%	99.6%	347.04	63.62	 285.02	324.64	11.4
19	1	1	YES	262	260	 99.6%	99.6%	455.06	61.41	 455.06	232.64	11.1
20	1	1	YES	288	282	 98.3%	99.3%	553.06	62.39	 553.06	228.64	11.1
21	1	1	YES	292	287	 98.6%	99.7%	557.06	61.04	 557.06	209.64	11.2
22	1	1	YES	292	289	 99.3%	99.7%	339.05	67.23	 339.05	265.64	11.8
23	1	1	YES	267	265	 99.6%	100.0%	410.06	60.62	 410.06	278.64	10.7
24	1	1	YES	266	261	 98.5%	99.2%	489.06	63.02	 489.06	294.64	11.1
25	1	1	YES	286	281	 98.6%	100.0%	78.28	63.02	 78.28	258.64	10.6
