Frequency	Allele
86	1
86	2
86	3
82	4
86	5
85	6
69	7
85	8
85	9
84	10
86	11
85	12
83	13
86	14
85	15
86	16
8	17
85	18
75	19
86	20
86	21
86	22
86	23
85	24
4	26
86	27
86	28
86	29
86	30
85	31
85	32
49	33
86	34
9	35
24	36
86	37
86	38
82	39
86	40
83	41
85	42
86	43
86	44
86	45
26	46
86	47
85	48
84	49
86	50
85	51
84	52
85	53
86	54
86	55
86	56
86	57
85	58
85	59
85	60
86	61
85	62
86	63
49	64
85	65
86	66
83	67
86	68
85	69
82	70
44	71
86	72
22	73
86	74
85	75
85	76
86	77
86	78
86	79
86	80
85	81
85	82
86	83
86	84
84	85
