Frequency	Allele
86	1
86	2
86	3
86	4
86	5
82	6
86	7
86	8
86	9
86	10
85	11
86	12
86	13
86	14
86	15
86	16
86	17
86	18
86	19
86	20
85	21
86	22
86	23
86	24
82	25
86	26
86	27
86	28
85	29
86	30
86	31
85	32
85	33
86	34
86	35
86	36
86	37
86	38
86	39
86	40
86	41
86	42
86	43
86	44
86	45
86	46
86	47
86	48
85	49
86	50
86	51
85	52
86	53
86	54
85	55
86	56
86	57
86	58
86	59
86	60
86	61
86	62
86	63
74	64
86	65
86	66
85	67
86	68
86	69
86	70
84	71
86	72
86	73
85	74
86	75
86	76
86	77
86	78
86	79
85	80
85	81
86	82
86	83
86	84
84	85
