Coverage	QScore
5x	32.64
5x	52.64
5x	31.64
5x	35.48
5x	35.48
5x	32.48
5x	43.32
5x	60.64
5x	67.64
5x	31.8
5x	31.64
5x	31.64
5x	31.64
5x	31.64
5x	31.64
5x	31.64
5x	31.64
5x	51.64
5x	37.64
5x	37.64
5x	71.64
5x	61.64
5x	49.64
5x	49.64
5x	39.32
5x	45.32
5x	58.64
5x	62.64
5x	67.64
5x	32.64
5x	35.48
5x	35.48
5x	77.64
5x	58.64
5x	35.65
5x	61.64
5x	97.64
5x	81.64
5x	67.64
5x	70.64
5x	70.64
5x	77.64
5x	109.64
5x	46.64
5x	98.64
5x	97.64
5x	58.64
5x	78.64
5x	70.64
5x	32.48
5x	39.64
5x	39.64
5x	70.64
5x	70.64
5x	31.64
5x	39.32
5x	55.64
5x	51.64
5x	32.64
5x	32.48
5x	67.64
5x	35.97
5x	35.64
5x	78.32
5x	78.32
5x	56.64
5x	61.64
5x	70.64
5x	67.64
5x	61.64
5x	47.64
5x	55.64
5x	32.64
5x	32.64
5x	57.64
5x	51.64
5x	32.48
5x	72.32
5x	51.64
5x	103.64
5x	73.64
5x	92.64
5x	58.64
5x	58.64
5x	57.64
5x	109.64
5x	109.64
5x	109.64
5x	109.64
5x	109.64
5x	68.64
5x	100.64
5x	103.64
5x	67.64
5x	61.64
5x	32.64
5x	102.64
5x	31.64
5x	39.32
5x	90.64
5x	74.64
5x	35.64
5x	35.64
5x	60.64
5x	32.48
5x	57.64
5x	35.64
5x	41.64
5x	41.64
5x	36.64
5x	52.64
5x	32.48
5x	39.32
5x	97.64
5x	32.48
5x	86.64
5x	54.64
5x	35.64
5x	32.48
5x	54.64
5x	63.64
5x	49.64
5x	32.64
5x	49.64
5x	31.64
5x	31.64
5x	56.64
5x	58.64
5x	37.64
5x	53.64
5x	52.64
5x	52.64
5x	32.48
5x	32.64
5x	35.48
5x	64.64
5x	51.64
5x	120.64
5x	67.64
5x	64.64
5x	64.64
5x	32.48
5x	52.64
5x	46.64
5x	32.48
5x	43.64
5x	32.64
5x	32.64
5x	32.64
5x	64.64
5x	64.64
5x	32.48
5x	58.64
5x	58.64
5x	32.48
5x	31.64
5x	69.64
5x	69.64
5x	35.64
5x	67.64
5x	115.84
5x	32.64
5x	31.64
5x	56.64
5x	67.64
5x	64.64
5x	32.64
5x	38.64
5x	31.64
5x	31.64
5x	70.64
5x	115.64
5x	115.64
5x	115.64
5x	67.64
5x	67.64
5x	43.64
5x	44.64
5x	32.48
5x	40.64
5x	67.64
5x	67.64
5x	35.64
5x	58.64
5x	62.64
5x	64.64
5x	64.64
5x	68.64
5x	45.64
5x	58.64
5x	61.64
5x	67.64
5x	35.44
5x	35.48
5x	35.48
5x	35.48
5x	71.32
5x	35.97
5x	75.32
5x	67.64
5x	54.64
5x	64.64
5x	48.64
5x	67.64
5x	55.64
5x	35.64
5x	42.64
5x	43.64
5x	67.64
5x	67.64
5x	32.64
5x	58.64
5x	58.64
5x	31.64
5x	31.64
5x	35.64
5x	36.64
5x	62.64
5x	62.64
5x	126.64
5x	32.64
5x	32.48
5x	63.64
5x	67.64
5x	78.31
5x	43.64
5x	61.64
5x	32.64
5x	51.64
5x	64.64
5x	136.64
5x	64.64
5x	31.6
5x	31.64
5x	31.64
5x	61.64
5x	61.64
5x	67.64
5x	50.64
5x	32.48
5x	32.48
5x	67.97
5x	35.64
5x	31.64
5x	67.97
5x	60.64
5x	67.64
5x	67.64
5x	35.48
5x	31.64
5x	38.64
5x	55.97
5x	45.64
5x	67.64
5x	41.64
5x	32.64
5x	54.64
5x	70.64
5x	35.48
5x	35.48
5x	62.64
5x	64.64
5x	67.64
5x	31.64
5x	70.64
5x	31.64
5x	52.64
5x	38.64
5x	52.64
5x	62.64
5x	66.64
5x	31.64
5x	70.64
5x	35.48
5x	54.64
5x	32.64
5x	32.64
5x	55.64
5x	55.64
5x	39.64
5x	70.64
5x	61.64
5x	55.64
5x	55.64
5x	67.64
5x	75.64
5x	35.64
5x	78.32
5x	78.32
5x	43.32
5x	51.64
5x	58.64
5x	70.64
5x	39.32
5x	32.64
5x	62.64
5x	64.64
5x	58.64
5x	72.32
5x	32.48
5x	60.64
5x	32.48
5x	55.64
5x	60.64
5x	33.64
5x	32.48
5x	55.64
5x	67.64
5x	32.64
5x	56.64
5x	32.48
5x	90.64
5x	35.64
5x	61.64
5x	31.64
5x	37.64
5x	70.64
5x	70.64
5x	60.64
5x	35.64
5x	32.48
5x	69.64
5x	32.64
5x	35.48
5x	67.97
5x	67.64
5x	57.64
5x	36.64
5x	70.64
5x	67.64
5x	67.64
5x	45.64
5x	72.32
5x	35.64
5x	31.64
5x	32.64
5x	32.64
5x	35.65
5x	55.64
5x	57.64
5x	64.64
5x	61.64
5x	61.64
5x	38.64
5x	38.64
5x	67.64
5x	32.64
5x	64.64
5x	58.32
5x	65.64
5x	32.64
5x	54.64
5x	55.64
5x	41.64
5x	62.64
5x	58.64
5x	60.32
5x	50.64
5x	87.64
5x	59.64
5x	53.64
5x	32.48
5x	48.64
5x	53.64
5x	53.64
5x	32.64
5x	54.64
5x	31.64
5x	35.64
5x	70.97
5x	32.64
5x	32.64
5x	35.64
5x	35.48
5x	87.64
5x	32.64
5x	34.64
5x	65.64
5x	54.64
5x	55.64
5x	61.64
5x	61.64
5x	78.32
5x	31.64
5x	31.64
5x	46.64
5x	32.48
5x	55.64
5x	40.64
5x	59.64
5x	54.64
5x	45.64
5x	75.32
5x	102.64
5x	64.64
5x	63.64
5x	60.64
5x	93.64
5x	47.64
5x	35.64
5x	101.64
5x	52.64
5x	67.64
5x	108.64
5x	64.64
5x	72.32
5x	67.64
5x	32.64
5x	32.48
5x	55.97
5x	35.64
5x	32.64
5x	52.64
5x	73.64
5x	73.64
5x	64.64
5x	55.64
5x	93.64
5x	72.32
5x	51.64
5x	48.64
5x	59.64
5x	64.64
5x	60.64
5x	61.64
5x	31.64
5x	31.64
5x	55.64
5x	48.64
5x	35.48
5x	35.48
5x	31.64
5x	67.64
5x	32.48
5x	89.64
5x	52.64
5x	54.64
5x	70.64
5x	42.64
5x	40.64
5x	51.64
5x	130.64
5x	44.64
5x	41.64
5x	70.64
5x	70.64
5x	38.64
5x	64.64
5x	35.48
5x	35.48
5x	32.64
5x	39.32
5x	48.64
5x	52.64
5x	35.48
5x	35.48
5x	32.48
5x	58.64
5x	64.64
5x	64.64
5x	60.64
5x	102.64
5x	58.64
5x	39.64
5x	45.64
5x	45.64
5x	130.64
5x	74.84
5x	87.64
5x	87.64
5x	141.64
5x	93.64
5x	93.64
5x	38.64
5x	38.64
5x	50.64
5x	31.64
5x	33.64
5x	70.64
5x	48.64
5x	35.64
5x	37.64
5x	56.64
5x	39.32
5x	54.64
5x	52.64
5x	62.64
5x	31.64
5x	38.97
5x	42.64
5x	31.64
5x	63.64
5x	62.64
5x	58.64
5x	63.64
5x	111.64
5x	35.48
5x	70.64
5x	33.64
5x	32.64
5x	54.64
5x	67.64
5x	64.64
5x	32.64
5x	67.64
5x	75.32
5x	60.64
5x	59.64
5x	32.64
5x	74.64
5x	48.64
5x	61.64
5x	53.64
5x	53.64
5x	49.64
5x	35.64
5x	55.64
5x	49.64
5x	51.64
5x	67.32
5x	91.64
5x	67.64
5x	64.64
5x	49.64
5x	35.64
5x	32.64
5x	67.64
5x	97.64
5x	48.64
5x	77.64
5x	77.64
5x	91.64
5x	63.64
5x	50.64
5x	31.64
5x	31.64
5x	75.32
5x	60.64
5x	35.48
5x	32.64
5x	101.64
5x	60.64
5x	70.64
5x	102.64
5x	32.48
5x	31.64
5x	54.64
5x	37.64
5x	70.64
5x	60.64
5x	55.64
5x	48.64
5x	65.64
5x	61.64
5x	52.64
5x	48.64
5x	61.64
5x	49.64
5x	51.64
5x	46.64
5x	46.64
5x	67.64
5x	32.64
5x	70.64
5x	31.64
5x	31.64
5x	66.97
5x	46.64
5x	32.64
5x	64.64
5x	62.64
5x	64.64
5x	55.64
5x	64.64
5x	52.64
5x	35.48
5x	47.64
5x	64.64
5x	35.97
5x	111.71
5x	73.67
5x	62.64
5x	60.64
5x	32.64
5x	32.48
5x	42.64
5x	52.64
5x	67.64
5x	67.64
5x	52.64
5x	54.64
5x	32.64
5x	46.64
5x	67.64
5x	52.64
5x	111.64
5x	111.64
5x	111.64
5x	44.64
5x	44.64
5x	48.25
5x	73.64
5x	47.64
5x	47.64
5x	58.64
5x	74.64
5x	189.64
5x	54.64
5x	46.32
5x	46.32
5x	44.64
5x	38.64
5x	36.64
5x	30.64
5x	32.48
5x	42.64
5x	54.64
5x	68.64
5x	30.64
5x	30.64
5x	30.64
5x	60.64
5x	32.64
5x	66.64
5x	39.32
5x	37.64
5x	64.64
5x	64.64
5x	64.64
5x	40.64
5x	67.64
5x	55.64
5x	51.64
5x	51.64
5x	51.64
5x	32.64
5x	31.64
5x	60.64
5x	31.64
5x	32.64
5x	78.64
5x	32.48
5x	54.64
5x	35.64
5x	61.64
5x	41.64
5x	55.64
5x	32.64
5x	35.64
5x	52.64
5x	32.64
5x	59.64
5x	51.64
5x	61.64
5x	100.64
5x	100.64
5x	94.64
5x	30.64
5x	35.64
5x	55.64
5x	58.64
5x	64.64
5x	72.32
5x	61.64
5x	48.64
5x	99.64
5x	61.64
5x	59.64
5x	38.64
5x	31.64
5x	31.64
5x	51.64
5x	52.64
5x	35.64
5x	35.64
5x	42.64
5x	33.64
5x	62.64
5x	64.64
5x	75.32
5x	73.64
5x	73.64
5x	71.64
5x	39.64
5x	39.64
5x	39.64
5x	91.84
5x	35.97
5x	57.64
5x	63.64
5x	53.64
5x	55.64
5x	32.64
5x	41.64
5x	41.64
5x	35.48
5x	35.48
5x	73.64
5x	73.64
5x	70.64
5x	39.32
5x	78.32
5x	78.32
5x	31.64
5x	31.64
5x	68.64
5x	33.64
5x	63.64
5x	72.32
5x	54.64
5x	49.64
5x	78.64
5x	61.64
5x	32.48
5x	39.32
5x	150.64
5x	61.64
5x	32.64
5x	68.64
5x	35.64
5x	100.64
5x	67.64
5x	99.64
5x	32.48
5x	63.64
5x	63.64
5x	63.64
5x	63.64
5x	67.64
5x	42.64
5x	57.64
5x	61.64
5x	46.64
5x	78.32
5x	78.32
5x	32.64
5x	38.64
5x	67.64
5x	67.64
5x	44.64
5x	65.64
5x	45.64
5x	32.64
5x	32.64
5x	52.64
5x	41.64
5x	64.64
5x	129.64
5x	61.64
5x	61.64
5x	35.97
5x	35.67
5x	31.64
5x	111.14
5x	52.64
5x	75.64
5x	70.64
5x	32.64
5x	64.64
5x	39.64
5x	55.64
5x	73.64
5x	73.64
5x	50.64
5x	42.64
5x	49.64
5x	40.64
5x	35.64
5x	63.64
5x	67.97
5x	36.64
5x	98.64
5x	42.64
5x	63.64
5x	51.64
5x	36.64
5x	43.64
5x	63.64
5x	32.64
