Frequency	Allele
79	1
86	2
85	3
86	4
86	5
79	6
86	7
81	8
86	9
86	10
85	11
80	12
86	13
86	14
86	15
74	16
86	17
86	18
86	19
86	20
79	21
85	22
86	23
86	24
86	25
86	26
83	27
77	28
86	29
86	30
86	31
86	32
86	33
85	34
86	35
83	36
86	37
86	38
85	39
86	40
85	41
86	42
86	43
86	44
85	45
86	46
84	47
85	48
86	49
86	50
83	51
2	52
85	53
81	54
86	55
81	56
79	57
77	58
84	59
85	60
85	61
80	62
86	63
84	64
76	65
86	66
85	67
2	68
86	69
86	70
83	71
85	72
86	73
85	74
85	75
78	76
84	77
78	78
86	79
85	80
84	81
86	82
86	83
85	84
81	85
